time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/clip_range,train/explained_variance,train/clip_range_vf,train/clip_fraction,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates
1,8,131072,16265,321.85,9.346345901489258,,,,,,,,,,,,
2,19,262144,13526,1000.0,38.135459899902344,0.20409023761749268,0.1,0.9345680475234985,0.2,0.0,1.1853608e-05,4.090074342489243,0.28888083519414065,1e-07,0.49899643659591675,-0.0001451238294976065,3070
3,30,393216,12915,580.69,20.738351821899414,0.20411591231822968,0.1,0.8327620625495911,0.2,0.0,1.2154281e-05,4.0871324766427275,0.6217376887332648,1e-07,0.9605803489685059,-0.00012078601130269818,3080
4,41,524288,12683,755.44,28.172401428222656,0.20414328575134277,0.1,0.869631290435791,0.2,0.0,1.0344058e-05,4.083999876305461,0.5182522773975506,1e-07,0.6271617412567139,-0.00011810854593932162,3090
5,52,655360,12483,632.92,22.736034393310547,0.20416943728923798,0.1,0.8509828448295593,0.2,0.0,1.7879898e-05,4.080869088321924,0.5691089503234252,1e-07,0.8277217745780945,-0.00014475387906713876,3100
6,63,786432,12363,652.51,22.900157928466797,0.20419487357139587,0.1,0.8616688847541809,0.2,0.0,2.316881e-05,4.077850575000047,0.5872947518713773,1e-07,0.9205004572868347,-0.00015339421033786494,3110
7,74,917504,12268,670.27,23.26095962524414,0.20422010123729706,0.1,0.8717663288116455,0.2,0.0,1.4461906e-05,4.074876907467842,0.5382041829405353,1e-07,0.6257730722427368,-0.0001429061352610006,3120
8,85,1048576,12243,515.6,16.791412353515625,0.2042461633682251,0.1,0.8764038681983948,0.2,0.0,1.719895e-05,4.071855226531625,0.5253948305733502,1e-07,0.6945005655288696,-0.00013356981125980382,3130
9,96,1179648,12231,596.77,20.226259231567383,0.2042711079120636,0.1,0.8765621185302734,0.2,0.0,1.06108455e-05,4.068867414444685,0.5492200446082279,1e-07,0.6668926477432251,-0.0001155249518888013,3140
10,107,1310720,12237,691.76,25.722673416137695,0.2042977511882782,0.1,0.8780414462089539,0.2,0.0,1.3738058e-05,4.065820313990116,0.5098455755738541,1e-07,0.7886965274810791,-0.00012637905883821076,3150
11,118,1441792,12216,573.86,19.960834503173828,0.20432429015636444,0.1,0.8466808795928955,0.2,0.0,1.3138228e-05,4.062696364894509,0.5761664577061311,1e-07,0.8458999395370483,-0.00011386488413336337,3160
12,128,1572864,12221,599.22,20.662094116210938,0.2043500393629074,0.1,0.868209183216095,0.2,0.0,1.3383047e-05,4.059655199572444,0.5563455918803811,1e-07,0.7576678395271301,-0.00012145296977905673,3170
13,139,1703936,12213,642.31,22.975263595581055,0.2043761909008026,0.1,0.8940860033035278,0.2,0.0,1.4750007e-05,4.056586431339383,0.47728896904736756,1e-07,0.706817090511322,-0.0001458649167943804,3180
14,150,1835008,12211,557.72,19.19068145751953,0.20440280437469482,0.1,0.8738360404968262,0.2,0.0,1.2449032e-05,4.0534910067915915,0.5625167483231053,1e-07,0.854533314704895,-0.00013348432648854213,3190
15,161,1966080,12204,717.22,26.528162002563477,0.20442794263362885,0.1,0.8726167678833008,0.2,0.0,1.4497169e-05,4.050456615164876,0.5241210105130449,1e-07,0.6678928136825562,-0.00012495703440436047,3200
16,171,2097152,12199,640.42,23.095979690551758,0.2044534683227539,0.1,0.8402331471443176,0.2,0.0,1.1766258e-05,4.047477954253554,0.514965252415277,1e-07,0.6952614188194275,-0.00011762512367567979,3210
17,182,2228224,12213,676.34,25.505083084106445,0.20447957515716553,0.1,0.8461191058158875,0.2,0.0,2.193726e-05,4.04444569721818,0.610871632071212,1e-07,0.8226137757301331,-0.0001431826200132491,3220
18,193,2359296,12207,689.7,26.013381958007812,0.20450477302074432,0.1,0.8532911539077759,0.2,0.0,1.7973418e-05,4.04143441170454,0.5223071901127696,1e-07,0.6481280326843262,-0.00013630629146064167,3230
19,203,2490368,12217,591.84,21.86284637451172,0.20453107357025146,0.1,0.8474075794219971,0.2,0.0,2.0345817e-05,4.038416974246502,0.6216269159689546,1e-07,1.0179752111434937,-0.00014779364810237893,3240
20,214,2621440,12208,583.18,21.05813217163086,0.20455633103847504,0.1,0.8649126291275024,0.2,0.0,1.5668402e-05,4.035398536920548,0.5498292108299211,1e-07,0.6756395101547241,-0.00013276756671984913,3250
21,225,2752512,12212,680.77,25.339590072631836,0.2045815885066986,0.1,0.862808346748352,0.2,0.0,1.6450833e-05,4.032440206035972,0.5902200892567635,1e-07,0.7398216128349304,-0.00014013418685863144,3260
22,236,2883584,12196,638.4,23.369447708129883,0.20460805296897888,0.1,0.8627376556396484,0.2,0.0,1.17256795e-05,4.029390911385417,0.5359757264377549,1e-07,0.6732834577560425,-0.00011608582199187367,3270
23,246,3014656,12212,662.84,24.145498275756836,0.2046331763267517,0.1,0.8496091961860657,0.2,0.0,1.4265821e-05,4.026381061598658,0.5855580961098894,1e-07,0.778954803943634,-0.00012299115660425742,3280
24,257,3145728,12204,714.29,26.3784122467041,0.20465950667858124,0.1,0.8598958253860474,0.2,0.0,1.1860803e-05,4.023362453281879,0.566938369651325,1e-07,0.7603225708007812,-0.00012361479602986946,3290
25,268,3276800,12207,637.37,22.479734420776367,0.20468413829803467,0.1,0.8588287830352783,0.2,0.0,1.565148e-05,4.020372739434242,0.5973673256812617,1e-07,0.7041206955909729,-0.00013927264781159464,3300
26,279,3407872,12201,614.96,22.469263076782227,0.20470860600471497,0.1,0.8645970821380615,0.2,0.0,1.7004562e-05,4.017498863860965,0.5519423555815592,1e-07,0.753442645072937,-0.00013639327216878882,3310
27,290,3538944,12197,640.48,23.476638793945312,0.20473460853099823,0.1,0.8512033820152283,0.2,0.0,1.35371965e-05,4.014542945474386,0.5796927109593526,1e-07,0.7146762609481812,-0.0001259532479707559,3320
28,300,3670016,12199,661.82,23.57604217529297,0.2047603577375412,0.1,0.855403482913971,0.2,0.0,1.3094028e-05,4.011507273465395,0.5442056885221973,1e-07,0.6174981594085693,-0.0001250618191988906,3330
29,311,3801088,12194,623.7,22.003747940063477,0.20478621125221252,0.1,0.8573808670043945,0.2,0.0,1.281555e-05,4.008488139510154,0.5875856872880831,1e-07,0.6971398591995239,-0.00013298089311319927,3340
30,322,3932160,12192,682.33,24.799448013305664,0.20481178164482117,0.1,0.8718106746673584,0.2,0.0,1.2743898e-05,4.005478571727872,0.5418413122417405,1e-07,0.619961142539978,-0.00012769076420227066,3350
31,333,4063232,12189,669.2,24.34023666381836,0.20483791828155518,0.1,0.8512681126594543,0.2,0.0,1.4655838e-05,4.00244648270309,0.5681869378080592,1e-07,0.6848835945129395,-0.0001226465265972365,3360
32,344,4194304,12187,620.88,22.543006896972656,0.20486319065093994,0.1,0.8460931777954102,0.2,0.0,1.2348499e-05,3.999434814415872,0.5925456238212063,1e-07,0.7594316005706787,-0.00011968747894570697,3370
33,354,4325376,12184,622.53,21.395034790039062,0.20488867163658142,0.1,0.8634767532348633,0.2,0.0,1.1395126e-05,3.9964717108756305,0.5776812565280125,1e-07,0.8945450782775879,-0.00011619546316978812,3380
34,366,4456448,12171,585.13,19.566062927246094,0.20491449534893036,0.1,0.8751362562179565,0.2,0.0,1.7479842e-05,3.9934659197926523,0.5257036511320621,1e-07,0.8425806760787964,-0.00014485415204035235,3390
35,376,4587520,12174,592.98,20.726333618164062,0.20494040846824646,0.1,0.8773384094238281,0.2,0.0,1.147776e-05,3.9904440568760036,0.5333091747947037,1e-07,0.7552779316902161,-0.00012287208587622445,3400
36,387,4718592,12171,691.47,25.2716121673584,0.20496630668640137,0.1,0.8679638504981995,0.2,0.0,1.096638e-05,3.9873998373746873,0.5203713276190683,1e-07,0.7158712148666382,-0.00011034406006729113,3410
37,398,4849664,12177,605.74,22.066102981567383,0.20499134063720703,0.1,0.8455846309661865,0.2,0.0,1.5125239e-05,3.9844236060976983,0.5711686356458813,1e-07,0.9234535694122314,-0.000133114375785226,3420
38,409,4980736,12169,604.14,21.994874954223633,0.20501768589019775,0.1,0.8587405681610107,0.2,0.0,1.3750771e-05,3.98141265027225,0.5750515571562573,1e-07,0.7529157996177673,-0.0001305119812968769,3430
39,420,5111808,12169,663.22,24.613935470581055,0.20504385232925415,0.1,0.8585782051086426,0.2,0.0,1.3613011e-05,3.978344200924039,0.5240114646963775,1e-07,0.705642580986023,-0.00012296487220737619,3440
40,430,5242880,12170,706.12,26.67340850830078,0.2050696611404419,0.1,0.8403181433677673,0.2,0.0,1.4719881e-05,3.975301192700863,0.6178946583764627,1e-07,0.7332959771156311,-0.00012147375136919436,3450
41,441,5373952,12158,643.77,23.857213973999023,0.2050948143005371,0.1,0.8634260892868042,0.2,0.0,1.5093334e-05,3.972327059879899,0.5287663323339075,1e-07,0.6666308045387268,-0.00013162975737941452,3460
42,452,5505024,12152,601.86,22.09857940673828,0.20512084662914276,0.1,0.8532419204711914,0.2,0.0,1.2962211e-05,3.9693207114934923,0.5900648017413914,1e-07,0.8368934392929077,-0.00011205010105186375,3470
43,463,5636096,12153,655.17,23.911579132080078,0.20514711737632751,0.1,0.8530215620994568,0.2,0.0,1.0216429e-05,3.9662670025601985,0.5752282345434651,1e-07,0.8260972499847412,-0.00011406710891606053,3480
44,474,5767168,12152,666.34,24.251937866210938,0.20517322421073914,0.1,0.8616842031478882,0.2,0.0,1.531102e-05,3.9632045038044454,0.5534468750702217,1e-07,0.6413164734840393,-0.00012978437625861262,3490
45,485,5898240,12142,623.11,22.570781707763672,0.20519915223121643,0.1,0.8697026371955872,0.2,0.0,1.2954033e-05,3.960173009335995,0.5381361141335219,1e-07,0.6981606483459473,-0.00012754602221320965,3500
46,496,6029312,12139,664.21,23.94640350341797,0.20522543787956238,0.1,0.849072277545929,0.2,0.0,1.5012933e-05,3.9571127267554402,0.5739432672737166,1e-07,0.8504813313484192,-0.0001336138013357413,3510
47,507,6160384,12134,579.0,20.568984985351562,0.20525161921977997,0.1,0.8665770888328552,0.2,0.0,1.2074162e-05,3.9540514428168536,0.5984687559539452,1e-07,0.7708631753921509,-0.0001241521734300477,3520
48,518,6291456,12138,683.09,25.911277770996094,0.20527802407741547,0.1,0.8706775307655334,0.2,0.0,1.1306476e-05,3.9509763134643436,0.5251818859018386,1e-07,0.689972996711731,-0.00012297759012653843,3530
49,529,6422528,12138,655.49,24.61795425415039,0.20530375838279724,0.1,0.8453603386878967,0.2,0.0,2.0266936e-05,3.9479272296652197,0.598634569440037,1e-07,0.8279682993888855,-0.00013595973441624665,3540
50,539,6553600,12138,661.56,24.443540573120117,0.20532964169979095,0.1,0.8576237559318542,0.2,0.0,1.6197348e-05,3.9449096957221625,0.560562139400281,1e-07,0.7915661334991455,-0.0001385487513289263,3550
51,550,6684672,12140,632.06,22.918907165527344,0.2053556740283966,0.1,0.8605629205703735,0.2,0.0,1.6210706e-05,3.9418697860091925,0.5599168063607067,1e-07,0.575697660446167,-0.0001460868384128844,3560
52,561,6815744,12140,623.86,22.878250122070312,0.2053816318511963,0.1,0.8542287349700928,0.2,0.0,1.0393565e-05,3.938831446506083,0.5793645731173456,1e-07,0.7410396337509155,-0.00010943911265712814,3570
53,572,6946816,12142,622.69,23.2198486328125,0.2054065316915512,0.1,0.8689516186714172,0.2,0.0,1.3028532e-05,3.935870034620166,0.5550054530147464,1e-07,0.6951121687889099,-0.00012492612841015217,3580
54,583,7077888,12137,640.72,23.312223434448242,0.20543234050273895,0.1,0.8700096011161804,0.2,0.0,1.129867e-05,3.932905852049589,0.5387397367041558,1e-07,0.8518022298812866,-0.00011821948837678064,3590
55,593,7208960,12136,646.58,23.492450714111328,0.20545820891857147,0.1,0.8629387617111206,0.2,0.0,1.7018137e-05,3.929888655617833,0.5804881632793695,1e-07,0.7226486802101135,-0.00013802040639347978,3600
56,604,7340032,12136,620.07,22.390268325805664,0.20548348128795624,0.1,0.8604609966278076,0.2,0.0,1.4426858e-05,3.926902214065194,0.563294571894221,1e-07,0.8050008416175842,-0.000129567645581119,3610
