rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range_vf,train/std,train/clip_range,train/clip_fraction,train/value_loss,train/loss
324.13,131072,9.491762161254883,15866,8,1,,,,,,,,,,,,
946.97,262144,36.43858337402344,13532,19,2,1e-08,-1.3649079664901365e-05,1.0976646e-07,4690,0.9312999844551086,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.30331214484758673,0.45189154148101807
615.07,393216,22.206811904907227,12976,30,3,1e-08,-1.216709988511866e-05,1.3072668e-07,4700,0.829364538192749,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5976486623985693,0.7924687266349792
776.75,524288,29.801916122436523,12763,41,4,1e-08,-1.3707534799323185e-05,1.4927264e-07,4710,0.8639291524887085,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5113975591724739,0.567900538444519
618.4,655360,22.793508529663086,12551,52,5,1e-08,-1.091711746994406e-05,1.2140117e-07,4720,0.8378594517707825,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6500024358276277,0.8968919515609741
689.92,786432,24.66907501220703,12415,63,6,1e-08,-1.1040605295420392e-05,1.2714463e-07,4730,0.8544423580169678,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5560634585563093,0.7428401708602905
624.41,917504,21.66803741455078,12351,74,7,1e-08,-1.2610173052962637e-05,1.3784029e-07,4740,0.8518146276473999,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5836809974629432,0.7164616584777832
581.18,1048576,19.372032165527344,12261,85,8,1e-08,-1.5019266811577836e-05,1.680628e-07,4750,0.8782603144645691,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5731657993514091,0.7100909352302551
651.39,1179648,22.973249435424805,12220,96,9,1e-08,-1.1873003677465021e-05,9.168207e-08,4760,0.8891303539276123,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.4984168221242726,0.6447876691818237
652.66,1310720,24.742595672607422,12224,107,10,1e-08,-1.2469381272239843e-05,1.3508406e-07,4770,0.8624259233474731,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5285363969625905,0.7894238233566284
607.43,1441792,21.52029800415039,12183,118,11,1e-08,-1.1008586261596065e-05,1.2237479e-07,4780,0.8470963835716248,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.591045586578548,0.8026331067085266
630.75,1572864,21.9769229888916,12116,129,12,1e-08,-1.3201163892517797e-05,1.5064006e-07,4790,0.8717367053031921,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5747929328121245,0.7305210828781128
651.29,1703936,23.518993377685547,12071,141,13,1e-08,-1.309147710344405e-05,1.426879e-07,4800,0.8791587352752686,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5264255514601246,0.7070515155792236
604.55,1835008,22.130918502807617,12071,152,14,1e-08,-1.074544579751091e-05,1.08399036e-07,4810,0.878417432308197,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5706960614770651,0.8668455481529236
685.84,1966080,25.347578048706055,12063,162,15,1e-08,-1.2575770415423904e-05,1.4880607e-07,4820,0.8592073917388916,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5491041306639091,0.682668149471283
603.12,2097152,22.077041625976562,12047,174,16,1e-08,-1.1125269793410553e-05,1.06987954e-07,4830,0.8558424711227417,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5995632752776145,0.7246277332305908
692.96,2228224,26.49905014038086,12020,185,17,1e-08,-1.1120776616735383e-05,1.0312351e-07,4840,0.8719809055328369,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5499337236629799,0.753036379814148
684.1,2359296,26.338468551635742,12012,196,18,1e-08,-1.1865844862768427e-05,1.4801299e-07,4850,0.8339930772781372,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5829657781636343,0.8310185074806213
672.97,2490368,25.491029739379883,12004,207,19,1e-08,-1.0926224695140263e-05,1.120934e-07,4860,0.8534491062164307,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5919975828146562,0.8778643012046814
617.04,2621440,22.676958084106445,11983,218,20,1e-08,-1.2282392799534136e-05,1.3004365e-07,4870,0.8558611869812012,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5473387610632926,0.6301611661911011
618.41,2752512,22.374494552612305,11972,229,21,1e-08,-1.2516594051703577e-05,1.6063223e-07,4880,0.8534061908721924,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6344842719146981,0.7457579374313354
671.12,2883584,24.928485870361328,11962,241,22,1e-08,-1.1924688169528964e-05,1.2016608e-07,4890,0.8711869716644287,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.49775585499592123,0.6775155663490295
655.81,3014656,24.036090850830078,11974,251,23,1e-08,-1.430981847079238e-05,1.81843e-07,4900,0.8497584462165833,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6504124058410525,0.7819201350212097
732.31,3145728,28.685121536254883,11967,262,24,1e-08,-1.0831296913238475e-05,1.2225564e-07,4910,0.8599472641944885,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.47386633371934295,0.66173255443573
632.29,3276800,23.737930297851562,11968,273,25,1e-08,-9.839301492320374e-06,1.1440716e-07,4920,0.7813192009925842,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6992502984823659,0.9596531987190247
664.43,3407872,24.536237716674805,11959,284,26,1e-08,-1.1823246495623607e-05,1.250537e-07,4930,0.8370400667190552,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5748490618076175,0.649343729019165
626.71,3538944,22.956449508666992,11948,296,27,1e-08,-1.308294622504036e-05,1.5999149e-07,4940,0.8567236661911011,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6059728421969339,0.7866033315658569
638.21,3670016,23.1025333404541,11943,307,28,1e-08,-1.1488928612379823e-05,1.0638678e-07,4950,0.8662793636322021,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5457880964735523,0.7479183673858643
604.28,3801088,21.323076248168945,11927,318,29,1e-08,-1.211168182635447e-05,1.2877126e-07,4960,0.8559179306030273,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6106185820419341,0.7980760931968689
692.73,3932160,25.638586044311523,11924,329,30,1e-08,-1.238390041180537e-05,1.362414e-07,4970,0.8784483075141907,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5367943804478272,0.7158628702163696
692.44,4063232,25.846538543701172,11916,340,31,1e-08,-1.1556742720131297e-05,1.4366788e-07,4980,0.8523979783058167,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.537726832786575,0.6749259233474731
694.15,4194304,25.406906127929688,11911,352,32,1e-08,-1.239128250745125e-05,1.1969496e-07,4990,0.8331749439239502,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6411964579951018,0.9484018087387085
612.34,4325376,21.136001586914062,11903,363,33,1e-08,-1.1485814320622012e-05,1.0969052e-07,5000,0.8656540513038635,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5702791323885321,0.6950579881668091
626.06,4456448,21.877731323242188,11903,374,34,1e-08,-1.1375518442946487e-05,1.0197027e-07,5010,0.8818273544311523,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5292396865319461,0.6787936687469482
643.82,4587520,22.974878311157227,11896,385,35,1e-08,-1.1354469370417064e-05,9.972473e-08,5020,0.8729779720306396,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5403389240382239,0.6878616213798523
638.59,4718592,23.284833908081055,11894,396,36,1e-08,-1.1398941524021211e-05,1.08805125e-07,5030,0.8628727197647095,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5644393116934225,0.7218831777572632
607.37,4849664,21.798139572143555,11891,407,37,1e-08,-1.1364377041900297e-05,1.1634029e-07,5040,0.8446183800697327,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.622751209558919,0.7898063659667969
642.07,4980736,23.757408142089844,11892,418,38,1e-08,-1.2435577991709578e-05,1.11777354e-07,5050,0.8829135894775391,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.555771230533719,0.7829970121383667
654.32,5111808,24.63735580444336,11897,429,39,1e-08,-1.2893438361061272e-05,1.374824e-07,5060,0.8707947731018066,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5586244816891849,0.8014154434204102
704.84,5242880,26.655445098876953,11896,440,40,1e-08,-1.2952365341334372e-05,1.3337103e-07,5070,0.8501958847045898,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.536070442176424,0.6872072219848633
643.49,5373952,23.798480987548828,11895,451,41,1e-08,-1.2446914570318768e-05,1.1381644e-07,5080,0.847525954246521,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6031786692328751,0.7195355892181396
602.0,5505024,22.09624481201172,11893,462,42,1e-08,-1.2169168257969432e-05,1.1616339e-07,5090,0.8522717952728271,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5774747396819293,0.8710252046585083
637.71,5636096,23.375532150268555,11889,474,43,1e-08,-1.0377245507697807e-05,9.984342e-08,5100,0.8526890277862549,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5978169899433852,0.7543730735778809
615.93,5767168,22.43178939819336,11886,485,44,1e-08,-1.2812819022656186e-05,1.4479019e-07,5110,0.849306583404541,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5799911486916244,0.8221235871315002
623.96,5898240,23.098617553710938,11883,496,45,1e-08,-1.2451112615963211e-05,1.4004127e-07,5120,0.8634412288665771,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6030825877096504,0.8500936031341553
587.31,6029312,21.38542938232422,11880,507,46,1e-08,-1.0785733229567995e-05,9.711766e-08,5130,0.878593385219574,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5580256508896128,0.7047213315963745
612.04,6160384,22.454448699951172,11881,518,47,1e-08,-1.222466789840837e-05,1.0168242e-07,5140,0.8814312815666199,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5756382178748026,0.7248706817626953
708.02,6291456,27.235960006713867,11881,529,48,1e-08,-1.214540034197853e-05,1.2761484e-07,5150,0.8806207180023193,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.513773616286926,0.7216256260871887
655.77,6422528,24.887128829956055,11879,540,49,1e-08,-1.078823379430105e-05,1.2311284e-07,5160,0.8412424921989441,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6181817802600562,0.7594365477561951
687.52,6553600,25.952455520629883,11872,551,50,1e-08,-1.434446148778079e-05,1.9344361e-07,5170,0.8515787124633789,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5687054684152827,0.7981542944908142
644.36,6684672,23.34194564819336,11872,563,51,1e-08,-1.1809503484982998e-05,1.13602255e-07,5180,0.8574082851409912,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6092685399577021,0.9052227735519409
698.2,6815744,26.132556915283203,11873,574,52,1e-08,-1.2520414020400495e-05,1.2776309e-07,5190,0.8722014427185059,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5023842401104048,0.5528100728988647
556.41,6946816,20.624897003173828,11873,585,53,1e-08,-1.122668109019287e-05,1.1793054e-07,5200,0.8540388345718384,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5958673627348616,0.7118334770202637
627.72,7077888,23.077842712402344,11872,596,54,1e-08,-9.561333718011155e-06,1.0089798e-07,5210,0.8553946018218994,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6109485875582322,0.8252108097076416
671.17,7208960,24.87175750732422,11873,607,55,1e-08,-1.180585777547094e-05,1.1696602e-07,5220,0.8744485378265381,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.4981663119979203,0.6687625646591187
603.79,7340032,21.77557945251465,11873,618,56,1e-08,-1.1826263926195679e-05,1.1274415e-07,5230,0.8469562530517578,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6402308908523991,0.8337813019752502
562.07,7471104,19.894254684448242,11873,629,57,1e-08,-1.3119354844093322e-05,1.12132966e-07,5240,0.8781678080558777,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5576097490265965,0.6400099992752075
656.78,7602176,24.279712677001953,11871,640,58,1e-08,-1.203404062835034e-05,1.1782549e-07,5250,0.8666058778762817,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5651145055657253,0.8240001797676086
646.63,7733248,24.087827682495117,11873,651,59,1e-08,-1.0538416518102167e-05,1.0388294e-07,5260,0.8527485728263855,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5745473077055067,0.8490245938301086
675.49,7864320,25.910207748413086,11874,662,60,1e-08,-1.202539151563542e-05,1.4534771e-07,5270,0.8479049205780029,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.586928803101182,0.782301127910614
631.8,7995392,23.710033416748047,11876,673,61,1e-08,-1.1252424974372843e-05,1.202011e-07,5280,0.8320334553718567,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5956021140562371,0.7528910040855408
584.74,8126464,21.29601287841797,11872,684,62,1e-08,-1.3593308995041298e-05,1.5825253e-07,5290,0.8510667681694031,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.616106453887187,0.7060884237289429
663.55,8257536,25.216279983520508,11876,695,63,1e-08,-1.215080756082898e-05,1.2715509e-07,5300,0.8707898855209351,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5412753937533126,0.7362696528434753
694.41,8388608,25.694923400878906,11878,706,64,1e-08,-1.2165737462055404e-05,1.4814168e-07,5310,0.8469670414924622,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5894451765110716,0.8296239376068115
662.21,8519680,24.195085525512695,11879,717,65,1e-08,-1.0454951825522585e-05,9.255609e-08,5320,0.8622104525566101,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5683257736265659,0.7587389945983887
698.81,8650752,26.53311538696289,11879,728,66,1e-08,-1.0984204618580406e-05,1.04863375e-07,5330,0.8621110320091248,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5619621896184981,0.633719801902771
750.96,8781824,28.791637420654297,11883,739,67,1e-08,-9.830366343521746e-06,1.1461543e-07,5340,0.8362264037132263,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5625209411839023,0.750442385673523
617.55,8912896,23.183732986450195,11883,750,68,1e-08,-1.253792570423684e-05,1.465578e-07,5350,0.8280546069145203,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.656666139815934,0.7905745506286621
650.5,9043968,24.15271759033203,11883,761,69,1e-08,-1.1676861959131202e-05,1.2716555e-07,5360,0.8674956560134888,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5556516629876569,0.7348737716674805
615.39,9175040,22.190996170043945,11885,771,70,1e-08,-1.255361321454984e-05,1.2230475e-07,5370,0.8546628355979919,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6108970262808725,0.7234049439430237
635.93,9306112,23.3894100189209,11887,782,71,1e-08,-1.313497878072667e-05,1.3038198e-07,5380,0.8721845746040344,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5250404554652051,0.6576641798019409
679.61,9437184,24.987964630126953,11887,793,72,1e-08,-1.1524801630002912e-05,1.1894144e-07,5390,0.8494404554367065,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5672783540561795,0.7220767736434937
649.59,9568256,23.641315460205078,11885,805,73,1e-08,-1.3489004049915821e-05,1.6513968e-07,5400,0.8420453071594238,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6365841251565143,0.8322893977165222
598.68,9699328,21.70595932006836,11886,816,74,1e-08,-1.0747035139502259e-05,1.0411668e-07,5410,0.8671192526817322,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.5499515748117119,0.6899057626724243
576.02,9830400,20.241195678710938,11889,826,75,1e-08,-1.1488051222841023e-05,1.2060718e-07,5420,0.8567224740982056,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.6439838957739994,0.8732751607894897
617.13,9961472,22.435869216918945,11890,837,76,1e-08,-1.163351334980689e-05,1.0172607e-07,5430,0.8829292058944702,3.602034091949463,0.2,0.2082720696926117,0.1,0.0,0.4888436684384942,0.5209158062934875
