time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/value_loss,train/clip_range_vf,train/loss,train/explained_variance,train/n_updates,train/std,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/learning_rate
8,131072,18.178865432739258,1,211.29,15014,,,,,,,,,,,,
20,262144,59.42011642456055,2,1000.0,12698,-0.0009362678716570372,2.755019867233932,0.2,5.038559913635254,-0.0870734453201294,10,0.05022032558917999,37.836395385861394,0.1,0.13017196655273439,0.003393017,1e-05
32,393216,16.209442138671875,3,520.15,12276,-0.0017389681279382785,0.6304463325068355,0.2,2.4876341819763184,-0.4745522737503052,20,0.050647031515836716,37.62478545606136,0.1,0.12227783203125,0.0031132705,1e-05
43,524288,34.34590530395508,4,956.04,11942,-0.0022878454428791883,0.5415162103949115,0.2,2.379021644592285,0.14877700805664062,30,0.05104962736368179,37.430513590574265,0.1,0.1162445068359375,0.0030150227,1e-05
55,655360,19.985004425048828,5,598.33,11850,-0.001574122125566646,0.5385942476103083,0.2,2.4002137184143066,0.14549440145492554,40,0.051476508378982544,37.23372274339199,0.1,0.12611541748046876,0.003152951,1e-05
66,786432,29.195480346679688,6,811.76,11750,-0.002087566916816286,0.4927647636737674,0.2,2.3415424823760986,0.3801642060279846,50,0.05189140886068344,37.03863559961319,0.1,0.12596969604492186,0.003073922,1e-05
78,917504,22.155885696411133,7,631.09,11695,-0.0016925801171055355,0.47274405469652264,0.2,2.2865593433380127,0.4001777768135071,60,0.05232628434896469,36.84111125767231,0.1,0.12987823486328126,0.003200253,1e-05
89,1048576,26.725542068481445,8,750.88,11650,-0.0019123123433928413,0.43478739506099373,0.2,2.2645084857940674,0.482404887676239,70,0.05275746434926987,36.64340100586414,0.1,0.12618331909179686,0.0031936904,1e-05
101,1179648,24.497459411621094,9,690.56,11623,-0.0017599142845028837,0.4076990540372208,0.2,2.2125067710876465,0.4688878655433655,80,0.05320246145129204,36.443477511405945,0.1,0.13321533203125,0.0032604027,1e-05
113,1310720,25.71533203125,10,720.5,11579,-0.0017313569688667484,0.38159393456298857,0.2,2.1765501499176025,0.5200721025466919,90,0.05364407226443291,36.244389969110486,0.1,0.12896881103515626,0.003170072,1e-05
124,1441792,23.933320999145508,11,682.1,11562,-0.0018714100814577251,0.3605603726580739,0.2,2.1532623767852783,0.5809347629547119,100,0.05409383401274681,36.044851526618004,0.1,0.13421173095703126,0.0033091537,1e-05
136,1572864,26.30810546875,12,727.67,11524,-0.001870473573126219,0.3518570963758975,0.2,2.1307106018066406,0.6160355806350708,110,0.05455094203352928,35.84364620745182,0.1,0.12922515869140624,0.003209039,1e-05
148,1703936,25.730661392211914,13,713.33,11494,-0.0020523933690128615,0.329223877703771,0.2,2.1193580627441406,0.6165074110031128,120,0.055024437606334686,35.639221826195715,0.1,0.13312911987304688,0.0033306396,1e-05
