time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range_vf,train/std,train/loss,train/explained_variance,train/clip_fraction
1,9.981372833251953,131072,31,4136,275.29487179487177,,,,,,,,,,,,
2,42.00852966308594,262144,82,3181,969.2,5e-06,22.38256520181894,0.1,0.0018776128,-0.0029159547419112643,780,0.2797987861558795,0.2,0.09542450308799744,1.3897725343704224,0.8937674760818481,0.066119384765625
3,27.427871704101562,393216,132,2966,664.32,5e-06,22.271611589193345,0.1,0.0020763557,-0.002376485049717303,790,0.915059395134449,0.2,0.0958835706114769,2.0697669982910156,0.70633864402771,0.07744979858398438
4,40.448455810546875,524288,183,2854,926.58,5e-06,22.160433031618595,0.1,0.0020252224,-0.0025442343377562794,800,0.46415342330001297,0.2,0.09632065892219543,1.6842865943908691,0.8161019086837769,0.07481689453125
5,32.13835525512695,655360,235,2788,767.23,5e-06,22.049426348507403,0.1,0.0020177083,-0.002278935212507349,810,0.837727441964671,0.2,0.09677081555128098,2.2276558876037598,0.7213147878646851,0.07375564575195312
6,36.13084411621094,786432,286,2743,848.75,5e-06,21.938529090583323,0.1,0.0020470165,-0.0023349856650384027,820,0.6080513258231803,0.2,0.09721773862838745,1.8088823556900024,0.7864155173301697,0.0741729736328125
7,28.886972427368164,917504,338,2709,705.73,5e-06,21.828836496174336,0.1,0.0021560444,-0.0026585193527353113,830,0.7551241332199424,0.2,0.09765986353158951,1.8000671863555908,0.7776415348052979,0.0810455322265625
8,34.532936096191406,1048576,390,2687,816.93,5e-06,21.719606551527978,0.1,0.0020609424,-0.002687591953417723,840,0.6709261788520962,0.2,0.09810663014650345,1.6560473442077637,0.8003813624382019,0.07670440673828124
9,31.084993362426758,1179648,442,2667,736.1,5e-06,21.60829688310623,0.1,0.0020876778,-0.002553643468036171,850,0.7026563940104097,0.2,0.09856909513473511,1.8006935119628906,0.744695246219635,0.07842254638671875
10,32.037025451660156,1310720,493,2654,756.22,5e-06,21.497718420624732,0.1,0.002058161,-0.002559573051030384,860,0.7020473112585023,0.2,0.09901686757802963,1.836491346359253,0.7728271484375,0.07767333984375
11,34.28150939941406,1441792,544,2646,799.93,5e-06,21.38825380951166,0.1,0.0021167551,-0.0024077378284800945,870,0.7011591116664931,0.2,0.09947025030851364,1.6000080108642578,0.749916672706604,0.07782974243164062
12,32.692508697509766,1572864,596,2638,774.36,5e-06,21.278635807335377,0.1,0.0020569758,-0.0023041525075313983,880,0.6845558715518564,0.2,0.09992700070142746,1.7365574836730957,0.7352862358093262,0.07649154663085937
13,32.096458435058594,1703936,647,2633,760.92,5e-06,21.16706924587488,0.1,0.002128207,-0.002627482341176801,890,0.7164318182971329,0.2,0.10039722174406052,1.874952793121338,0.7418990135192871,0.08107681274414062
14,33.637245178222656,1835008,697,2629,788.98,5e-06,21.056706891953944,0.1,0.0020612301,-0.002516089188611659,900,0.691955904616043,0.2,0.10085351020097733,1.6947553157806396,0.7524384260177612,0.07642974853515624
15,34.508209228515625,1966080,749,2623,814.82,5e-06,20.945986634492876,0.1,0.0020732384,-0.00244511232322111,910,0.7091478839050979,0.2,0.10132666677236557,1.7682569026947021,0.7401202321052551,0.07448806762695312
16,33.469120025634766,2097152,800,2620,785.91,5e-06,20.835484986007213,0.1,0.002048747,-0.002450970622476234,920,0.6713414893951267,0.2,0.10178711265325546,1.7494657039642334,0.7417441606521606,0.07535247802734375
17,31.123046875,2228224,851,2617,740.0,5e-06,20.728241181373598,0.1,0.0020908923,-0.00242602133184846,930,0.7315518046263605,0.2,0.10223633050918579,1.7649860382080078,0.7321515083312988,0.07639999389648437
18,32.629512786865234,2359296,902,2614,775.03,5e-06,20.620398201048374,0.1,0.0020567174,-0.0025950923355594568,940,0.6481079958146438,0.2,0.10270499438047409,1.756770372390747,0.7603870630264282,0.07773056030273437
19,35.638607025146484,2490368,953,2612,831.88,5e-06,20.50967834293842,0.1,0.002035434,-0.00246035672371363,950,0.7311143040424213,0.2,0.10318303108215332,1.952958106994629,0.7708768248558044,0.075274658203125
20,33.77456283569336,2621440,1004,2610,797.55,5e-06,20.39892576634884,0.1,0.0020249987,-0.0023905576887045753,960,0.6465740772197023,0.2,0.10365883260965347,1.508215308189392,0.7424168586730957,0.0741302490234375
21,32.077510833740234,2752512,1055,2608,759.0,5e-06,20.288783764839174,0.1,0.0021038805,-0.002497314901984282,970,0.7363650588318705,0.2,0.1041342243552208,1.686916708946228,0.7441455125808716,0.0760528564453125
22,35.457115173339844,2883584,1105,2607,831.94,5e-06,20.179101429879665,0.1,0.0019900622,-0.00242687135369124,980,0.6789405165472999,0.2,0.10461034625768661,1.7088446617126465,0.7400472164154053,0.07095413208007813
23,32.124267578125,3014656,1157,2605,756.26,5e-06,20.07095692306757,0.1,0.0020586585,-0.002389588748656024,990,0.7199372353730723,0.2,0.1050783023238182,1.7039692401885986,0.7202572822570801,0.0748992919921875
