time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_range_vf,train/learning_rate,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/entropy_loss,train/approx_kl
131072,31,4161,332.0689655172414,12.398892402648926,1,,,,,,,,,,,,
262144,81,3224,1000.0,45.264217376708984,2,0.1677865915640723,-0.003199508295756459,0.1,0.7225002646446228,0.2,5e-06,0.8770821690559387,0.14840903878211975,1740,0.06288833618164062,11.784943204373121,0.0019033807
393216,130,3008,811.23,35.874263763427734,3,1.257551532657817,-0.002247702448767086,0.1,2.1427063941955566,0.2,5e-06,0.4739588499069214,0.14911556243896484,1750,0.06917190551757812,11.673363077640534,0.0020359254
524288,181,2883,996.9,45.19586944580078,4,0.269361500069499,-0.0028547665094492912,0.1,0.798570454120636,0.2,5e-06,0.8132477402687073,0.14981909096240997,1760,0.07231292724609376,11.560818365961314,0.002072719
655360,232,2822,888.07,39.939292907714844,5,1.1723588010296226,-0.002207180641198647,0.1,1.9897164106369019,0.2,5e-06,0.4664405584335327,0.15052026510238647,1770,0.07125701904296874,11.447825288027525,0.002111312
786432,283,2777,977.79,44.2786979675293,6,0.4179370714002289,-0.0022904379643932772,0.1,1.0870376825332642,0.2,5e-06,0.6791080236434937,0.15122094750404358,1780,0.0724639892578125,11.33675254508853,0.002109238
917504,334,2743,796.67,35.22946548461914,7,1.0523448336403818,-0.0023853555975847486,0.1,1.543839693069458,0.2,5e-06,0.581688404083252,0.15190215408802032,1790,0.0658935546875,11.22678192332387,0.0019614564
1048576,385,2718,989.73,44.7009162902832,8,0.4961678070132621,-0.0023735246318665306,0.1,0.9528546333312988,0.2,5e-06,0.7189991474151611,0.1526252031326294,1800,0.0696502685546875,11.115666859596967,0.0020958488
1179648,437,2696,847.38,37.81513977050781,9,0.9961588862352073,-0.0022849289019632123,0.1,1.4814724922180176,0.2,5e-06,0.5357215404510498,0.15334291756153107,1810,0.06839828491210938,11.002219257503748,0.0020706304
1310720,489,2679,969.67,43.80998611450195,10,0.579057845287025,-0.0024240099342023314,0.1,1.0171149969100952,0.2,5e-06,0.6023937463760376,0.1540517807006836,1820,0.074835205078125,10.891033504158258,0.0021913345
1441792,541,2663,905.02,40.7272834777832,11,0.98067284245044,-0.0021196535681156092,0.1,1.5760438442230225,0.2,5e-06,0.4707593321800232,0.1547643095254898,1830,0.06640625,10.7800741776824,0.002022651
1572864,592,2653,984.09,44.8402214050293,12,0.6094908245140687,-0.002200899749277596,0.1,1.4465184211730957,0.2,5e-06,0.557453453540802,0.15547044575214386,1840,0.07648696899414062,10.67040286809206,0.0022853948
1703936,643,2646,879.19,39.3930778503418,13,0.9763339226599783,-0.00209499793490977,0.1,1.164588451385498,0.2,5e-06,0.4187996983528137,0.1561874896287918,1850,0.06502227783203125,10.560288951545953,0.0019871457
1835008,694,2641,947.04,43.10930633544922,14,0.6306043905438855,-0.002182949242887844,0.1,1.1451194286346436,0.2,5e-06,0.6574373841285706,0.15688925981521606,1860,0.06823883056640626,10.451629759371281,0.0020718337
1966080,745,2636,937.15,42.395423889160156,15,0.8999406017828733,-0.0024155102220902334,0.1,1.4281132221221924,0.2,5e-06,0.4790394902229309,0.15764525532722473,1870,0.07299041748046875,10.33943490087986,0.0021680773
2097152,796,2632,946.28,42.570926666259766,16,0.7028652739711105,-0.0020337955434342803,0.1,1.1510734558105469,0.2,5e-06,0.44577568769454956,0.1583595871925354,1880,0.07240371704101563,10.228137056529523,0.0021719693
2228224,847,2630,904.11,40.4700813293457,17,0.9097421445883811,-0.0021377010370997596,0.1,1.2296299934387207,0.2,5e-06,0.5231010317802429,0.15907511115074158,1890,0.06643600463867187,10.119721908867358,0.0020176228
2359296,898,2626,942.48,42.425621032714844,18,0.6498433240456507,-0.0024928612605435775,0.1,0.9749589562416077,0.2,5e-06,0.5819845199584961,0.15980744361877441,1900,0.08051071166992188,10.010455200821161,0.002259016
2490368,949,2622,912.47,41.13223648071289,19,0.8751199043355882,-0.0024659360208715954,0.1,1.2357053756713867,0.2,5e-06,0.5204797983169556,0.16055601835250854,1910,0.07730484008789062,9.89913038611412,0.0021570283
2621440,1000,2620,949.95,43.038455963134766,20,0.684677695017308,-0.0024009232820844774,0.1,1.1833102703094482,0.2,5e-06,0.5129139423370361,0.16131435334682465,1920,0.07345428466796874,9.78649673461914,0.0021429807
