time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range_vf,train/loss,train/clip_range,train/std,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/approx_kl
1,376.23809523809524,16.062313079833984,31,4100,131072,,,,,,,,,,,,
2,1000.0,44.98100280761719,81,3201,262144,0.09882354736328125,1e-05,2700,0.2,0.15567216277122498,0.1,0.2325192242860794,1.0439117319881916,0.8196048736572266,-0.0031339208391955252,0.14449914141441694,0.0026928736
3,910.17,40.76468276977539,131,2999,393216,0.09604263305664062,1e-05,2710,0.2,1.2482494115829468,0.1,0.23450009524822235,0.846872029826045,0.533096194267273,-0.0021905188575146893,1.2239015172235668,0.0028319082
4,1000.0,44.9197883605957,181,2887,524288,0.1063812255859375,1e-05,2720,0.2,0.3547322750091553,0.1,0.2365340143442154,0.6413382556755096,0.7712510228157043,-0.0025319203163235216,0.2903669625287876,0.0030458749
5,821.61,36.117244720458984,233,2805,655360,0.09625320434570313,1e-05,2730,0.2,1.2448185682296753,0.1,0.23847945034503937,0.4398736511589959,0.7155036926269531,-0.0024605356555639445,0.9915457600262017,0.002772283
6,948.19,42.23343276977539,284,2760,786432,0.09805755615234375,1e-05,2740,0.2,0.5220531821250916,0.1,0.24050801992416382,0.23873278811806814,0.7948854565620422,-0.0024971258530968043,0.4536549476906657,0.0028795875
7,848.03,37.44173049926758,341,2689,917504,0.09200363159179688,1e-05,2750,0.2,0.8459489941596985,0.1,0.24249400198459625,0.038401628378778696,0.7868773937225342,-0.0023692467632827176,0.8446461903862655,0.0027812053
8,894.1,39.336265563964844,397,2637,1048576,0.10788497924804688,1e-05,2760,0.2,0.4538247585296631,0.1,0.24460069835186005,-0.1641582643496804,0.7220461964607239,-0.002213341030301308,0.603586363652721,0.0030594661
9,717.21,31.076732635498047,452,2605,1179648,0.1003753662109375,1e-05,2770,0.2,0.9967115521430969,0.1,0.24666397273540497,-0.369019660865888,0.7413865923881531,-0.002544747119281965,0.9070546090602875,0.0028811363
10,778.45,33.6572151184082,505,2592,1310720,0.09369354248046875,1e-05,2780,0.2,0.7480075359344482,0.1,0.24873284995555878,-0.5699663595529273,0.8271695971488953,-0.0026364930425188506,0.7231301689986139,0.0027676292
11,770.47,33.02874755859375,557,2583,1441792,0.10133514404296876,1e-05,2790,0.2,0.576263427734375,0.1,0.2508646547794342,-0.7729110138490796,0.8040831685066223,-0.002484890396863193,0.6897572443354875,0.0028950493
12,778.77,32.81364440917969,609,2582,1572864,0.09203643798828125,1e-05,2800,0.2,0.7445088028907776,0.1,0.2529177963733673,-0.9724094763863832,0.8307076692581177,-0.0023090205022981538,0.7820165363606065,0.0026700697
13,690.25,29.40471839904785,660,2580,1703936,0.09434051513671875,1e-05,2810,0.2,0.5427677035331726,0.1,0.2550516426563263,-1.1717294776812195,0.8337814807891846,-0.002439454252817086,0.6695469286059961,0.0028090363
14,619.39,25.8189640045166,712,2577,1835008,0.08936538696289062,1e-05,2820,0.2,0.8106406331062317,0.1,0.2571614682674408,-1.3719244205392898,0.8537542819976807,-0.002363025328850199,0.7861572556197644,0.0026614934
15,577.45,23.39339828491211,763,2575,1966080,0.09176025390625,1e-05,2830,0.2,0.6986095309257507,0.1,0.2592408359050751,-1.5672618556767701,0.8855633735656738,-0.0025924353988557415,0.7595345851965248,0.0026654312
16,541.21,22.199560165405273,814,2574,2097152,0.087664794921875,1e-05,2840,0.2,0.7140021324157715,0.1,0.2613671123981476,-1.762187372893095,0.8860273361206055,-0.002291389878519112,0.7210910928901285,0.0026305038
17,641.16,26.565143585205078,866,2572,2228224,0.08612442016601562,1e-05,2850,0.2,0.6185982823371887,0.1,0.2635558545589447,-1.9611576811410487,0.8922853469848633,-0.0022435607188526774,0.6412475442513823,0.0026530712
18,607.83,24.618640899658203,917,2572,2359296,0.0924346923828125,1e-05,2860,0.2,0.5225545763969421,0.1,0.265730619430542,-2.159594883583486,0.8838469386100769,-0.0025302804392595135,0.7066240874584764,0.0026552505
19,585.28,24.013477325439453,968,2571,2490368,0.08997573852539062,1e-05,2870,0.2,0.6072336435317993,0.1,0.2678288519382477,-2.351501016318798,0.8693701028823853,-0.0023696628893958406,0.6945854288525879,0.002568753
20,518.65,20.95378875732422,1019,2570,2621440,0.09114761352539062,1e-05,2880,0.2,0.6535961627960205,0.1,0.27005982398986816,-2.5467667199671267,0.8728607296943665,-0.002362614386311179,0.8067407785449177,0.0026747147
21,567.61,23.109067916870117,1071,2570,2752512,0.08989639282226562,1e-05,2890,0.2,0.4885423481464386,0.1,0.27225378155708313,-2.742825838923454,0.8887312412261963,-0.0024021830965466505,0.7076176883187145,0.0026062871
22,520.15,21.097490310668945,1122,2568,2883584,0.0866302490234375,1e-05,2900,0.2,0.5257494449615479,0.1,0.2745222747325897,-2.9396688187494875,0.8908283114433289,-0.002350142106115527,0.6988596818875521,0.0026295455
23,490.68,19.87106704711914,1174,2567,3014656,0.0847076416015625,1e-05,2910,0.2,0.5528923273086548,0.1,0.2767714262008667,-3.1371431382372976,0.8882027268409729,-0.0022787504925418033,0.7458967438433319,0.0026013462
24,497.7,19.918678283691406,1225,2567,3145728,0.08777313232421875,1e-05,2920,0.2,0.5978137254714966,0.1,0.2790497839450836,-3.3336565917357803,0.884496808052063,-0.002281283588217775,0.7497741362079978,0.0026252687
25,490.26,19.344467163085938,1276,2566,3276800,0.09121551513671874,1e-05,2930,0.2,0.5837920308113098,0.1,0.28132364153862,-3.529018542356789,0.8931355476379395,-0.0024489186220762347,0.6996320113074035,0.002694638
26,525.01,21.00965118408203,1327,2566,3407872,0.0930633544921875,1e-05,2940,0.2,0.5556012392044067,0.1,0.28364136815071106,-3.7252362495288254,0.8893337845802307,-0.00241198959056419,0.7113721114583313,0.0027089904
27,476.79,19.165754318237305,1379,2565,3538944,0.0909881591796875,1e-05,2950,0.2,0.43501168489456177,0.1,0.2859775125980377,-3.9218949738889934,0.8807544708251953,-0.0023053242204696288,0.7200128596276045,0.002657444
28,450.25,17.81890869140625,1430,2565,3670016,0.09036102294921874,1e-05,2960,0.2,0.5017211437225342,0.1,0.28835561871528625,-4.1198806267231705,0.8871394395828247,-0.002282947711773886,0.7110686471685768,0.0026489876
29,503.13,19.83236312866211,1481,2564,3801088,0.09185714721679687,1e-05,2970,0.2,0.47393906116485596,0.1,0.29073861241340637,-4.317803166806698,0.8914843201637268,-0.0023881491515567177,0.7181967081036419,0.0027164859
30,529.09,21.246543884277344,1533,2564,3932160,0.08668365478515624,1e-05,2980,0.2,0.5202734470367432,0.1,0.29308027029037476,-4.512197656929493,0.888123631477356,-0.002316449376485252,0.6996254025027155,0.0026040948
31,513.25,20.658397674560547,1584,2564,4063232,0.09276504516601562,1e-05,2990,0.2,0.4362674653530121,0.1,0.2955099046230316,-4.708312597870827,0.8876437544822693,-0.002397199103052117,0.6694279825314879,0.0027193206
32,496.77,19.88489532470703,1635,2564,4194304,0.08708343505859376,1e-05,3000,0.2,0.4447494149208069,0.1,0.29791539907455444,-4.904087802767753,0.8846055269241333,-0.0022909886349225415,0.6744678059592843,0.0026112455
33,454.28,18.070396423339844,1687,2563,4325376,0.092474365234375,1e-05,3010,0.2,0.3194396495819092,0.1,0.30038291215896606,-5.1007791690528395,0.8855185508728027,-0.0024140948504282277,0.6751263008452952,0.0027012206
34,489.83,19.069440841674805,1738,2563,4456448,0.08729019165039062,1e-05,3020,0.2,0.4679572582244873,0.1,0.30282318592071533,-5.296453258767724,0.8882204294204712,-0.0022380297167728714,0.694395744567737,0.0026322287
35,469.7,18.70464324951172,1789,2562,4587520,0.08773117065429688,1e-05,3030,0.2,0.35250192880630493,0.1,0.30530378222465515,-5.4912671785801646,0.8931243419647217,-0.002122516219651516,0.6533620112109929,0.002623297
36,480.12,19.135326385498047,1841,2562,4718592,0.0878631591796875,1e-05,3040,0.2,0.2985084056854248,0.1,0.3078218400478363,-5.688374937325716,0.8962123990058899,-0.002199972705602704,0.6162199867889285,0.0026444634
37,502.42,19.96703338623047,1892,2562,4849664,0.09003677368164062,1e-05,3050,0.2,0.42078399658203125,0.1,0.31035053730010986,-5.885417198762298,0.894754946231842,-0.0023163088541878095,0.6281611586455256,0.002673975
38,526.75,20.904787063598633,1943,2563,4980736,0.08510360717773438,1e-05,3060,0.2,0.3953957259654999,0.1,0.3128528296947479,-6.078897704929114,0.8853638172149658,-0.0021582437241704612,0.6629775560926646,0.0025714794
39,509.68,20.19475555419922,1994,2563,5111808,0.08760452270507812,1e-05,3070,0.2,0.23615166544914246,0.1,0.31542104482650757,-6.2738542154431345,0.8886153101921082,-0.002196123002340755,0.6280593186384067,0.0026440758
40,491.28,19.351045608520508,2045,2563,5242880,0.0937896728515625,1e-05,3080,0.2,0.29172125458717346,0.1,0.3179350197315216,-6.466800886392593,0.8864772319793701,-0.002490139890778664,0.6311099930200725,0.002672033
41,521.68,20.536333084106445,2096,2563,5373952,0.09156494140625,1e-05,3090,0.2,0.27817654609680176,0.1,0.32057732343673706,-6.662371137738228,0.8904248476028442,-0.0023590061767663427,0.6257284497376532,0.0026774714
42,482.2,19.168338775634766,2147,2562,5505024,0.0855865478515625,1e-05,3100,0.2,0.32959482073783875,0.1,0.32316601276397705,-6.8574638802558185,0.8895272612571716,-0.002133158824790371,0.6322487516328692,0.0025970186
43,497.36,19.465621948242188,2199,2562,5636096,0.08869400024414062,1e-05,3110,0.2,0.22082650661468506,0.1,0.3258213698863983,-7.052409763634205,0.8908365964889526,-0.0021808063072057847,0.6466596794780344,0.0026512663
44,480.39,18.9400691986084,2250,2563,5767168,0.08849411010742188,1e-05,3120,0.2,0.30743950605392456,0.1,0.3285087049007416,-7.248999566584826,0.8904533982276917,-0.0021468735421876772,0.656097361491993,0.0026640296
45,467.88,18.543874740600586,2301,2562,5898240,0.08857955932617187,1e-05,3130,0.2,0.2964707016944885,0.1,0.3312433660030365,-7.446935112029314,0.8887414336204529,-0.002165408003475022,0.6834864247357473,0.0026629074
46,471.7,18.496200561523438,2352,2562,6029312,0.09054794311523437,1e-05,3140,0.2,0.3204203248023987,0.1,0.33398744463920593,-7.645307238772512,0.8797239065170288,-0.0022027977182006,0.7326150842010974,0.0026814188
47,481.66,18.905235290527344,2403,2562,6160384,0.08991622924804688,1e-05,3150,0.2,0.276017427444458,0.1,0.33678922057151794,-7.844351071491838,0.8863071203231812,-0.0022031012258594274,0.6922973952721805,0.0027081333
48,477.29,18.65947723388672,2454,2562,6291456,0.0923553466796875,1e-05,3160,0.2,0.2052755355834961,0.1,0.3395853340625763,-8.044100204855203,0.8893065452575684,-0.002374727205688032,0.6683722001966089,0.002732276
49,477.97,18.831937789916992,2506,2562,6422528,0.08811874389648437,1e-05,3170,0.2,0.19711720943450928,0.1,0.3423621654510498,-8.240466217696667,0.8924506306648254,-0.0021653877188782646,0.6664093027822673,0.0026779876
50,473.69,18.23126792907715,2557,2562,6553600,0.08790283203125,1e-05,3180,0.2,0.1258392035961151,0.1,0.3451625108718872,-8.436021984368562,0.886297881603241,-0.002037043351583634,0.6748836141079664,0.002650535
51,478.92,18.670970916748047,2608,2562,6684672,0.08446197509765625,1e-05,3190,0.2,0.2647242248058319,0.1,0.34797319769859314,-8.630755627155304,0.8894065618515015,-0.0020810279875149718,0.653205227619037,0.002608544
52,460.69,17.259496688842773,2659,2562,6815744,0.0917388916015625,1e-05,3200,0.2,0.20496106147766113,0.1,0.3508822023868561,-8.828840520232916,0.8877834677696228,-0.0023031692161566753,0.6585464338771999,0.0027350436
53,476.63,18.22414207458496,2711,2562,6946816,0.08927688598632813,1e-05,3210,0.2,0.13479068875312805,0.1,0.35373368859291077,-9.025428667664528,0.8948306441307068,-0.0022162356408443884,0.6530906801111996,0.0026901928
54,458.18,17.57219696044922,2762,2562,7077888,0.09111404418945312,1e-05,3220,0.2,0.25112926959991455,0.1,0.3566480576992035,-9.220691619068385,0.8909119963645935,-0.002284966133083799,0.6495893786661326,0.0026793221
55,466.48,17.73048210144043,2813,2561,7208960,0.08758926391601562,1e-05,3230,0.2,0.22928014397621155,0.1,0.3596231937408447,-9.419383746385574,0.8802671432495117,-0.002143507956634494,0.6681231910130009,0.002634333
56,447.65,16.842239379882812,2864,2562,7340032,0.084393310546875,1e-05,3240,0.2,0.09790360927581787,0.1,0.3625865876674652,-9.617087785899638,0.8934308290481567,-0.0020679755924902566,0.6055547673953697,0.0025833354
57,455.14,17.179292678833008,2916,2561,7471104,0.084124755859375,1e-05,3250,0.2,0.24689579010009766,0.1,0.3655499517917633,-9.813235186785459,0.8770582675933838,-0.001993600429614162,0.6731265841517597,0.0025980063
58,463.49,17.348031997680664,2967,2561,7602176,0.08668212890625,1e-05,3260,0.2,0.05056118965148926,0.1,0.3685925006866455,-10.010943661630154,0.892294704914093,-0.002154876478971346,0.621417582896538,0.002659476
59,457.87,17.315311431884766,3018,2561,7733248,0.08553390502929688,1e-05,3270,0.2,0.020258724689483643,0.1,0.3716628849506378,-10.209394493699074,0.8966565132141113,-0.0020751852609009803,0.6005809448193759,0.0026402993
60,463.19,17.39166831970215,3069,2561,7864320,0.08703842163085937,1e-05,3280,0.2,0.12265056371688843,0.1,0.3747289478778839,-10.407563403248787,0.8906754851341248,-0.0021803300056490115,0.6043550447793677,0.0026693833
61,492.83,18.539539337158203,3121,2561,7995392,0.0838287353515625,1e-05,3290,0.2,0.018887221813201904,0.1,0.3778708875179291,-10.606597915291786,0.8912804126739502,-0.0021113433010668814,0.6157273553544655,0.002614445
62,479.51,18.372957229614258,3172,2561,8126464,0.08747482299804688,1e-05,3300,0.2,0.015230417251586914,0.1,0.3809789717197418,-10.804635479301215,0.8896323442459106,-0.0021291049752562687,0.5979417353169992,0.0026623467
63,484.44,18.121532440185547,3223,2561,8257536,0.08716201782226562,1e-05,3310,0.2,0.0579758882522583,0.1,0.3841242492198944,-11.001723017543554,0.8868253827095032,-0.0021789173445540657,0.5899853224400431,0.0026326047
64,474.96,17.962509155273438,3274,2561,8388608,0.08063278198242188,1e-05,3320,0.2,0.10247308015823364,0.1,0.38722100853919983,-11.196388459950686,0.8806849718093872,-0.002072689528813498,0.6100962440250441,0.0025373232
65,473.81,17.963916778564453,3325,2561,8519680,0.08719635009765625,1e-05,3330,0.2,-0.05111593008041382,0.1,0.3903944492340088,-11.391126655787229,0.8841481804847717,-0.002224938447261593,0.5828746355604381,0.002664209
66,499.73,18.598426818847656,3376,2562,8650752,0.08503494262695313,1e-05,3340,0.2,-0.05430924892425537,0.1,0.393581360578537,-11.586402965337038,0.8794633150100708,-0.002134506121137747,0.6089605541899801,0.0026055183
67,467.32,17.69158363342285,3427,2562,8781824,0.08704910278320313,1e-05,3350,0.2,-0.014737963676452637,0.1,0.39684414863586426,-11.783112201839685,0.8893260955810547,-0.0022591964313050995,0.5807433146750555,0.0026552575
68,462.25,17.195079803466797,3478,2562,8912896,0.0849029541015625,1e-05,3360,0.2,-0.05889785289764404,0.1,0.4000997841358185,-11.979992289096117,0.8832929134368896,-0.0021197449259034327,0.6057570118224248,0.002647605
69,460.41,17.232803344726562,3529,2562,9043968,0.08445968627929687,1e-05,3370,0.2,0.072018563747406,0.1,0.4034322202205658,-12.177755810320377,0.8798572421073914,-0.0020902906677292775,0.6500334702897816,0.002630726
70,461.08,17.12787628173828,3580,2562,9175040,0.09061050415039062,1e-05,3380,0.2,0.015467584133148193,0.1,0.4067573547363281,-12.375363110750914,0.8818316459655762,-0.002360203316220577,0.6068661594530568,0.0026881017
