time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/loss,train/n_updates,train/std,train/clip_range_vf,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction
1,131072,30,4302,,,,,,,,,,,,,,
2,262144,81,3203,0.06996226344490424,-0.20214490592479706,4430,0.3011290729045868,0.2,0.1,0.5002706050872803,-5.203980663791299,5e-06,0.0015127831,-0.0023640696676466176,42.61310958862305,1000.0,0.04558486938476562
3,393216,134,2931,1.016249585011974,0.8395622968673706,4440,0.30247676372528076,0.2,0.1,0.1445804238319397,-5.303503054752946,5e-06,0.0015718467,-0.001730676439956369,41.08842468261719,963.76,0.04300765991210938
4,524288,187,2800,0.12026298461132683,-0.17802157998085022,4450,0.3037511110305786,0.2,0.1,0.50009685754776,-5.408025992289185,5e-06,0.0016435124,-0.0020987077909012442,42.145626068115234,1000.0,0.05133514404296875
5,655360,241,2710,1.0964814525097608,0.7459149360656738,4460,0.30514082312583923,0.2,0.1,0.3166167140007019,-5.513189008459449,5e-06,0.0016399603,-0.0021353057552005337,41.450355529785156,985.59,0.04795913696289063
6,786432,295,2659,0.09797440649126657,-0.2116130292415619,4470,0.30652865767478943,0.2,0.1,0.633545994758606,-5.623060299456119,5e-06,0.0017567037,-0.0026031248346043865,41.335880279541016,994.17,0.057698822021484374
7,917504,349,2626,1.248614481743425,0.9960123300552368,4480,0.3079568147659302,0.2,0.1,0.30056488513946533,-5.733172597363591,5e-06,0.0016730919,-0.0017708832341668313,41.3538932800293,994.17,0.04845733642578125
8,1048576,400,2615,0.10707241104100831,-0.19895008206367493,4490,0.3093586564064026,0.2,0.1,0.20162606239318848,-5.843606689199805,5e-06,0.0015834857,-0.001875414084906879,42.1478271484375,1000.0,0.04850311279296875
9,1179648,453,2603,1.3433606165461243,0.9707450866699219,4500,0.3107978105545044,0.2,0.1,0.25415629148483276,-5.953438900411129,5e-06,0.0016556697,-0.0017682517962839483,30.846670150756836,728.16,0.043487548828125
10,1310720,504,2599,0.4023670592228882,0.09804365038871765,4510,0.3122004568576813,0.2,0.1,0.32007408142089844,-6.063068633154034,5e-06,0.0017081922,-0.0018833372172593955,40.6156120300293,975.43,0.050519561767578124
11,1441792,555,2596,1.140380443027243,1.0766000747680664,4520,0.31362685561180115,0.2,0.1,0.2857621908187866,-6.171517432481051,5e-06,0.001649741,-0.0019626054137006576,24.54253578186035,587.66,0.047444915771484374
12,1572864,607,2590,0.7660400794586166,0.4810272455215454,4530,0.31507381796836853,0.2,0.1,0.3597556948661804,-6.281964237242937,5e-06,0.0018068017,-0.0021865377852918755,39.858558654785156,968.9,0.05573577880859375
13,1703936,658,2587,0.8247135143727065,0.5185282230377197,4540,0.3165651857852936,0.2,0.1,0.29562485218048096,-6.393817504122853,5e-06,0.0018080911,-0.0020418004839484636,29.084157943725586,733.54,0.056156158447265625
14,1835008,715,2565,0.8701338729821145,0.35479384660720825,4550,0.31799936294555664,0.2,0.1,0.5970724821090698,-6.504480016231537,5e-06,0.0016635279,-0.0022419503997298308,27.20553970336914,692.58,0.04663009643554687
15,1966080,771,2550,0.9135850887279957,0.5936640501022339,4560,0.3194696009159088,0.2,0.1,0.6964884996414185,-6.6143025171011685,5e-06,0.0016566629,-0.0022223110569029813,26.027265548706055,676.95,0.0464874267578125
16,2097152,823,2547,0.6488869901746511,0.20510277152061462,4570,0.32089725136756897,0.2,0.1,0.8148694038391113,-6.723297860845923,5e-06,0.0016439101,-0.002436163245647549,25.69196128845215,652.14,0.043890380859375
17,2228224,873,2549,0.8841222234535963,0.450227290391922,4580,0.32238253951072693,0.2,0.1,0.6932034492492676,-6.832561572268605,5e-06,0.0017461418,-0.002389937600082703,26.0560359954834,681.71,0.04999542236328125
18,2359296,924,2552,0.7110359987709671,0.39360755681991577,4590,0.32381758093833923,0.2,0.1,0.7562391757965088,-6.94088718034327,5e-06,0.0015974997,-0.002179639689165924,30.122304916381836,783.92,0.04374618530273437
19,2490368,975,2553,0.5340457580983639,0.10934093594551086,4600,0.32531657814979553,0.2,0.1,0.8410211801528931,-7.0499615833163265,5e-06,0.0017085044,-0.002518009304048974,23.060157775878906,583.83,0.04675216674804687
20,2621440,1025,2555,1.081390482932329,0.6868510246276855,4610,0.32679083943367004,0.2,0.1,0.690934419631958,-7.159430548548698,5e-06,0.0016495025,-0.002300963856760063,19.298805236816406,493.72,0.04494171142578125
21,2752512,1076,2556,0.8045481960754841,0.43611469864845276,4620,0.3282938003540039,0.2,0.1,0.7921369671821594,-7.268706465885043,5e-06,0.0016722374,-0.0022174042892402213,24.789438247680664,668.95,0.04626541137695313
