time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/learning_rate,train/loss,train/clip_range,train/value_loss,train/n_updates,train/explained_variance,train/clip_range_vf,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/approx_kl
1,20.262065887451172,131072,33,480.6666666666667,3957,,,,,,,,,,,,
2,43.182132720947266,262144,82,1000.0,3172,1e-06,-0.14024077355861664,0.1,0.13487279877299443,5390,0.5470157861709595,0.2,-0.0014407408803435828,0.3002372980117798,0.01857757568359375,-5.168028068915009,0.0010059462
3,42.76942825317383,393216,132,992.83,2976,1e-06,0.680173397064209,0.1,0.8759571663569659,5400,0.18802249431610107,0.2,-0.000974005392390609,0.30051127076148987,0.013689422607421875,-5.188929176330566,0.00097450754
4,42.561912536621094,524288,182,1000.0,2878,1e-06,-0.13589631021022797,0.1,0.125385358359199,5410,0.5281654596328735,0.2,-0.0016034863853747084,0.3007809519767761,0.022951507568359376,-5.210490904375911,0.0011410324
5,42.478431701660156,655360,231,1000.0,2832,1e-06,0.7173991203308105,0.1,0.8869079420808703,5420,0.34505707025527954,0.2,-0.0010272968394929194,0.30106252431869507,0.0084686279296875,-5.232621903344989,0.00094913685
6,42.5061149597168,786432,282,1000.0,2787,1e-06,-0.19132661819458008,0.1,0.10035352227860131,5430,0.4106047749519348,0.2,-0.0012736084966945781,0.3013456165790558,0.016373443603515624,-5.2550737272948025,0.0010710589
7,41.74630355834961,917504,331,980.33,2769,1e-06,0.8829962015151978,0.1,1.0757862764410675,5440,0.4055864214897156,0.2,-0.0009190391238917073,0.3016296327114105,0.00850372314453125,-5.277686266601085,0.00086595165
8,42.334930419921875,1048576,381,1000.0,2745,1e-06,-0.13688087463378906,0.1,0.13267978417570703,5450,0.6177560091018677,0.2,-0.0010646519770034502,0.30191612243652344,0.009871673583984376,-5.300328675284982,0.00094949675
9,40.26359939575195,1179648,431,951.83,2732,1e-06,0.9035303592681885,0.1,1.1314708635676651,5460,0.28443241119384766,0.2,-0.0010313381980267878,0.30220460891723633,0.010748291015625,-5.323194737359882,0.0010408013
10,41.714271545410156,1310720,482,1000.0,2717,1e-06,-0.03580975532531738,0.1,0.2670863903826103,5470,0.5222358703613281,0.2,-0.0012270602851003787,0.3024829924106598,0.0147918701171875,-5.345725577324629,0.0010595866
11,27.181114196777344,1441792,532,652.35,2705,1e-06,0.856297492980957,0.1,1.1445687752217055,5480,0.4194578528404236,0.2,-0.0010959990297124023,0.3027665913105011,0.012726593017578124,-5.368019898608327,0.0009865367
12,40.76768493652344,1572864,583,979.09,2697,1e-06,0.2687870264053345,0.1,0.49102649264968934,5490,0.39566195011138916,0.2,-0.0013407568853381236,0.3030504882335663,0.017708587646484374,-5.3906951196491715,0.0010535088
13,28.312788009643555,1703936,634,711.6,2685,1e-06,0.8262609839439392,0.1,1.0447773097082973,5500,0.28248172998428345,0.2,-0.0008890494335673793,0.3033362329006195,0.006964111328125,-5.413203248381615,0.0009225779
14,28.225522994995117,1835008,685,715.94,2676,1e-06,0.49603912234306335,0.1,0.7977848819922656,5510,0.6154146194458008,0.2,-0.001123577157750333,0.30361607670783997,0.007289886474609375,-5.435571931675076,0.0008960094
15,28.181459426879883,1966080,736,733.34,2670,1e-06,0.64095139503479,0.1,0.9165104783605784,5520,0.6913068890571594,0.2,-0.001102207810163236,0.30389854311943054,0.0102569580078125,-5.457818653434515,0.0009503665
16,25.3621768951416,2097152,792,642.35,2645,1e-06,0.4172062277793884,0.1,0.7152491808868945,5530,0.8057307600975037,0.2,-0.0012385177635223954,0.30418661236763,0.008173370361328125,-5.480384582281113,0.0009029689
17,28.792308807373047,2228224,850,743.44,2621,1e-06,0.6780970096588135,0.1,0.8962024390231818,5540,0.6371091604232788,0.2,-0.0012905146492357745,0.30447840690612793,0.011273956298828125,-5.503244761750102,0.0009115762
18,28.880990982055664,2359296,903,744.33,2612,1e-06,0.309542179107666,0.1,0.6850934701971709,5550,0.6907987594604492,0.2,-0.0011021236320175377,0.3047654926776886,0.00517120361328125,-5.5260372322052715,0.0008546441
