elapsed_step,reset_marker,body_x,body_y,body_z,quat_w,quat_x,quat_y,quat_z,FR_abad,FR_hip,FR_knee,FL_abad,FL_hip,FL_knee,HR_abad,HR_hip,HR_knee,HL_abad,HL_hip,HL_knee,reward_total,healthy_reward,penalty_base_xvel,penalty_base_zvel,penalty_base_zpos,penalty_base_orientation,penalty_base_straight,penalty_base_linear_accel,penalty_base_angular_vel,penalty_action_smooth,ctrl_cost,contact_cost,is_healthy,x_position,y_position,x_velocity,y_velocity,pBody_des_z,desired_h,cmd_vel_x,cmd_vel_y,cmd_vel_yaw,reward_base_xvel,reward_base_zvel,reward_base_zpos,reward_base_orientation,reward_base_straight,reward_base_linear_accel,reward_base_angular_vel,reward_action_smooth,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,action_22,action_23,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45
5,1,0.00011636,-4.23613e-05,0.249167,0.999997,0.00108714,-0.00109225,0.00173114,-0.176663,-1.39055,2.19292,0.123816,-1.41816,2.34786,-0.12969,-1.4699,2.34409,0.193548,-1.35205,2.19441,0.669589,1,8.93624,0.0378629,0.266189,0.000134293,0.00187745,7.57992,0.208191,0,15.0919,0,1,0.00011636,-4.23613e-05,0.0212528,-0.000555216,0.337897,0.332874,3,0,0,0.000131534,0.962845,0.766294,0.999866,0.998124,0.0005106,0.812052,1,-0.00317009,-0.123608,3.37833e-05,0.000269628,-0.0369713,-0.0374084,-0.00697202,-0.0519499,-0.0576974,0.00363261,0.00997094,0.109851,-0.154799,0.0444295,-0.0376746,-0.017079,0.12185,0.0846135,-0.0544142,-0.0349011,-0.0958787,0.212044,0.116545,0.339917,3,0.0212231,-0.000656238,-0.012666,0.0530978,-0.356971,0.279183,0.00217806,-0.00218074,0.00346466,-0.183075,-1.39391,2.2117,0.135639,-1.4088,2.32945,-0.138419,-1.45314,2.32784,0.194922,-1.35975,2.21158,1.78658,1.30555,-8.78945,-5.50208,-3.67462,9.07789,4.31129,-8.37916,8.14078,0.371302,4.12856,-8.00547,1,0,0,1,0.232589,-0.212259,-0.221866,0.251542,0.197813,-0.202238,0.208923,0.977932
10,0,0.000330433,-7.26789e-05,0.248555,0.999993,0.00104372,-0.00299244,0.002081,-0.147296,-1.38,2.12935,0.0789511,-1.47348,2.42068,-0.116986,-1.53146,2.40156,0.182548,-1.33451,2.14017,0.59422,1,8.93753,0.259299,0.257319,0.000359366,0.0223008,12.4949,0.16105,0.810043,2.70198,0,1,0.000330433,-7.26789e-05,0.0208245,-0.00731248,0.334328,0.332874,3,0,0,0.000131366,0.771592,0.773121,0.999641,0.977946,3.74574e-06,0.851249,0.444839,-0.045989,-0.00513122,0.0757167,-0.00852355,0.0707356,0.0135332,0.101284,-0.106587,0.0412626,-0.0109732,0.0272108,0.15296,0.0737056,0.023467,0.0250008,0.0337867,0.0767217,-0.207096,0.0367442,-0.0133117,0.0186412,0.0471086,0.0802551,0.237131,3,0.0202759,-0.00757854,-0.0865404,-0.124249,-0.38073,-0.0256291,0.00209991,-0.00598052,0.00416831,-0.15124,-1.38047,2.13628,0.0871651,-1.46088,2.40739,-0.117957,-1.52125,2.39121,0.18356,-1.3352,2.14545,2.33611,0.593939,-4.60545,-4.1607,-5.92686,6.87713,0.63456,-5.54065,5.3327,-0.786359,0.928461,-3.74864,1,0,0,1,0.220737,-0.207313,-0.242388,0.253955,0.186364,-0.188369,0.393837,0.91918
15,0,0.000705041,-0.000223555,0.247738,0.999985,-0.000407724,-0.00513731,0.00175179,-0.134103,-1.38562,2.11511,0.0415595,-1.53365,2.47944,-0.11565,-1.57268,2.44805,0.183857,-1.34339,2.13442,0.640439,1,8.83516,0.210895,0.253473,0.000740678,0.0607227,43.1027,0.374027,0.0413839,6.76356,0,1,0.000705041,-0.000223555,0.0549453,-0.0198683,0.332229,0.332874,3,0,0,0.000145525,0.809859,0.776101,0.99926,0.941084,1.90861e-19,0.687958,0.959461,-0.0704075,-0.0234787,0.0510932,-0.0248413,0.0699093,0.0323186,0.112369,-0.0929149,0.0332321,-0.0174052,0.0474609,0.222684,0.106076,0.0454002,0.0365898,0.0264517,0.0637909,-0.224828,0.0377143,0.00434103,0.0113014,0.0946923,0.1093,0.253732,3,0.0541502,-0.0200019,-0.0708751,-0.362577,-0.487326,-0.0712641,3.1408,-3.13132,-3.13809,-0.136127,-1.38365,2.11625,0.0490068,-1.5222,2.46833,-0.115516,-1.56546,2.43934,0.182956,-1.3403,2.1337,1.13368,-0.801597,-0.8716,-3.704,-5.92623,5.68845,0.0398201,-3.8424,4.50141,0.31722,-1.25997,0.0028146,1,0,0,1,0.215543,-0.203963,-0.248332,0.252468,0.178416,-0.176446,0.566076,0.824353
20,0,0.00160391,-0.000469406,0.247269,0.999965,-0.00231985,-0.00795281,0.0013812,-0.126555,-1.39892,2.11425,0.0100295,-1.58185,2.52831,-0.129358,-1.5919,2.48146,0.190482,-1.36454,2.14416,0.637247,1,8.66014,0.0853217,0.244465,0.00176345,0.0848783,60.0205,0.537806,0.143561,9.79069,0,1,0.00160391,-0.000469406,0.113288,-0.0275104,0.328758,0.332874,3,0,0,0.000173361,0.918217,0.783124,0.998238,0.918624,8.5785e-27,0.584028,0.866268,-0.0847843,0.027348,-0.0315448,-0.0139898,0.0848636,-0.00169338,0.221902,-0.10592,0.0612547,-0.0604884,0.0139005,0.1702,0.136494,0.0559381,0.0215352,0.014467,0.0881756,-0.27206,0.0622244,0.0204998,0.00739572,0.0601101,0.0024413,0.235739,3,0.112744,-0.0276862,-0.0303663,-0.399377,-0.611537,-0.0657765,3.13697,-3.12568,-3.13887,-0.127848,-1.39597,2.11414,0.0156328,-1.574,2.51913,-0.125372,-1.59004,2.47568,0.188935,-1.35976,2.14173,0.689827,-1.42483,0.0264264,-2.97185,-4.4565,4.71643,-1.7144,-1.4041,3.09452,0.730305,-2.27803,1.13546,1,0,0,1,0.211651,-0.201802,-0.249108,0.251838,0.172268,-0.166497,0.714456,0.69968
25,0,0.0031145,-0.000786686,0.247289,0.999926,-0.00444218,-0.0113002,0.00111442,-0.120572,-1.41451,2.11397,-0.00668193,-1.59569,2.56734,-0.15547,-1.58847,2.50355,0.199215,-1.39053,2.15681,0.648367,1,8.46897,0.0699657,0.231099,0.00371688,0.105565,73.4759,0.6614,0.00984019,9.98515,0,1,0.0031145,-0.000786686,0.177009,-0.0338771,0.324322,0.332874,3,0,0,0.000209881,0.932426,0.793661,0.99629,0.899816,1.2298e-32,0.516128,0.990208,-0.0861145,0.030686,-0.0454414,-0.0226758,0.0862543,0.0104155,0.230395,-0.0973051,0.0640885,-0.0608561,0.0177571,0.192382,0.160758,0.0678023,0.0216651,0.00929732,0.0822746,-0.267904,0.0606495,0.0355435,0.00544492,0.0429345,0.0218083,0.213885,3,0.177412,-0.0344602,0.019013,-0.39324,-0.710714,-0.0406029,3.13273,-3.11898,-3.13946,-0.121643,-1.41131,2.11425,-0.00437842,-1.5964,2.56028,-0.149308,-1.59081,2.50019,0.197464,-1.38514,2.15435,0.569614,-1.58176,-0.0701988,-1.38236,-0.537949,3.72492,-2.84848,0.763355,1.96643,0.885092,-2.65978,1.26373,1,0,0,1,0.207441,-0.200102,-0.248873,0.254908,0.168951,-0.158294,0.834113,0.551593
30,0,0.00527922,-0.00116892,0.247857,0.999867,-0.00636149,-0.0149795,0.000977692,-0.115303,-1.43049,2.11028,-0.00452523,-1.55805,2.59173,-0.187185,-1.56686,2.51295,0.20814,-1.41768,2.16711,0.632515,1,8.27145,0.238268,0.215835,0.00664566,0.12746,76.3314,0.675312,0.0131102,9.53985,0,1,0.00527922,-0.00116892,0.242849,-0.0405386,0.319802,0.332874,3,0,0,0.000255713,0.787992,0.805868,0.993376,0.880328,7.07472e-34,0.508998,0.986975,-0.082781,0.0307472,-0.0550042,-0.0335756,0.0927175,0.0185533,0.225603,-0.089247,0.0646058,-0.0602075,0.0152266,0.216203,0.185948,0.0768121,0.019688,0.00406864,0.0802319,-0.252493,0.0594924,0.0424949,0.00169125,0.0186132,0.0363529,0.174862,3,0.245031,-0.0419765,0.0715884,-0.315733,-0.758511,-0.0168779,3.12889,-3.11162,-3.13983,-0.116229,-1.42731,2.11136,-0.00603123,-1.56975,2.58821,-0.180423,-1.57252,2.51235,0.206473,-1.41225,2.16537,0.499277,-1.59915,-0.449922,0.532748,4.84604,2.12027,-3.27453,2.50099,0.649011,0.870861,-2.71884,0.956981,1,0,0,1,0.202433,-0.19869,-0.248905,0.263307,0.168687,-0.152658,0.921168,0.389166
35,0,0.00808617,-0.00163113,0.248983,0.999793,-0.00795473,-0.0187273,0.000943374,-0.110333,-1.4459,2.10247,0.0166691,-1.46746,2.59273,-0.214639,-1.53204,2.50904,0.216577,-1.44403,2.17298,0.619016,1,8.08295,0.403054,0.200825,0.0103731,0.155641,67.3699,0.628448,0.0168152,8.7839,0,1,0.00808617,-0.00163113,0.305683,-0.0491617,0.315925,0.332874,3,0,0,0.000308758,0.668276,0.818056,0.989681,0.855867,5.51613e-30,0.533419,0.983325,-0.0760565,0.0266256,-0.0608612,-0.0457766,0.1001,0.0232264,0.213495,-0.0838676,0.0639319,-0.0581389,0.00700619,0.235837,0.21308,0.0829444,0.0143362,0.000198847,0.0820264,-0.22635,0.0592801,0.0435752,-0.00637317,-0.0079772,0.0424433,0.126534,3,0.31039,-0.0517827,0.122008,-0.236689,-0.756588,-0.000204189,3.12571,-3.10412,-3.14,-0.111197,-1.44288,2.10436,0.0116923,-1.48891,2.59454,-0.209384,-1.53995,2.5112,0.215058,-1.43886,2.1722,0.47157,-1.52848,-0.863233,2.37436,10.007,-0.391709,-2.66707,3.72543,-0.700546,0.809985,-2.61077,0.488991,1,0,0,1,0.196636,-0.197444,-0.249525,0.276332,0.171332,-0.150808,0.975289,0.220933
40,0,0.0114972,-0.00217289,0.250622,0.999706,-0.00922403,-0.0224208,0.00097521,-0.105543,-1.46012,2.09056,0.0507925,-1.34334,2.56392,-0.228816,-1.48926,2.4921,0.224191,-1.469,2.17422,0.609271,1,7.90566,0.545947,0.187689,0.0147203,0.179371,53.6256,0.581976,0.0168639,8.04533,0,1,0.0114972,-0.00217289,0.36478,-0.0561689,0.313186,0.332874,3,0,0,0.000368651,0.579293,0.828872,0.985388,0.835796,5.13692e-24,0.558793,0.983278,-0.0678296,0.0185781,-0.0613546,-0.0573121,0.105922,0.0237127,0.201266,-0.0861886,0.0617884,-0.0542481,-0.00562782,0.24581,0.238628,0.0865338,0.00654284,-0.000958954,0.0855936,-0.192378,0.0615465,0.0409549,-0.0181261,-0.0324388,0.0375103,0.0794131,3,0.372434,-0.0600838,0.164376,-0.175273,-0.742426,0.00767036,3.12317,-3.09673,-3.14005,-0.106371,-1.45736,2.09325,0.0438543,-1.36927,2.57196,-0.226708,-1.49842,2.49693,0.222861,-1.4641,2.17431,0.453744,-1.39876,-1.26941,3.5092,12.8193,-3.46217,-1.19202,4.42495,-2.00817,0.720902,-2.47265,0.03538,1,0,0,1,0.190162,-0.196309,-0.250778,0.292092,0.176356,-0.153821,0.998584,0.0531918
45,0,0.0154985,-0.0027766,0.25267,0.999608,-0.0101939,-0.0260493,0.00103322,-0.100934,-1.473,2.07493,0.0882524,-1.21561,2.5058,-0.225694,-1.4425,2.46178,0.230837,-1.49277,2.17145,0.602409,1,7.7266,0.652439,0.177674,0.0195925,0.202187,46.8056,0.545778,0.0134688,7.47014,0,1,0.0154985,-0.0027766,0.424468,-0.0627678,0.311894,0.332874,3,0,0,0.000440942,0.520774,0.837215,0.980598,0.816943,4.70518e-21,0.579391,0.986621,-0.0617629,0.00723969,-0.0540284,-0.0641507,0.108181,0.0223691,0.194534,-0.0973949,0.0586281,-0.0484935,-0.0197675,0.244652,0.258591,0.0894628,-0.00109478,0.000502309,0.0916547,-0.155941,0.0655748,0.0376993,-0.0293135,-0.0493139,0.0225974,0.043212,3,0.435049,-0.0678499,0.193749,-0.119714,-0.728946,0.00921492,3.12124,-3.08947,-3.14006,-0.101748,-1.47049,2.07831,0.081215,-1.24015,2.5193,-0.22707,-1.45208,2.46922,0.22968,-1.4881,2.17231,0.439999,-1.26776,-1.63028,3.67857,12.5994,-6.33154,0.573343,4.74794,-3.35436,0.627428,-2.35402,-0.35454,1,0,0,1,0.183083,-0.195274,-0.252589,0.308262,0.183007,-0.162389,0.993884,-0.110425
50,0,0.0201215,-0.00347071,0.254998,0.999502,-0.0107378,-0.0296467,0.00111505,-0.0965225,-1.48498,2.05626,0.121058,-1.10629,2.42815,-0.208712,-1.39609,2.41995,0.236626,-1.51527,2.16497,0.595299,1,7.53572,0.7258,0.171372,0.024893,0.237969,48.1277,0.526964,0.0104149,7.24888,0,1,0.0201215,-0.00347071,0.488093,-0.0735384,0.312122,0.332874,3,0,0,0.000533676,0.483937,0.842508,0.975414,0.788227,1.25435e-21,0.590395,0.989639,-0.0595104,-0.00619314,-0.0395138,-0.0637225,0.105729,0.0212079,0.194126,-0.112779,0.0554631,-0.0422567,-0.0323066,0.233946,0.270057,0.0930105,-0.00657799,0.00345142,0.102646,-0.12286,0.0694694,0.0347374,-0.0372775,-0.0567808,0.00227116,0.0196324,3,0.501355,-0.0795075,0.210941,-0.0309326,-0.725124,0.0142061,3.12015,-3.08227,-3.14,-0.0973008,-1.48263,2.06022,0.115221,-1.12631,2.44472,-0.212506,-1.40528,2.4294,0.235603,-1.51087,2.16656,0.423988,-1.18475,-1.92191,3.1189,10.4685,-8.05885,1.86625,4.62324,-4.43507,0.550714,-2.22397,-0.722199,1,0,0,1,0.175407,-0.194319,-0.254751,0.322765,0.190418,-0.175816,0.963553,-0.267516
