time/iterations,train/action_std_23,train/action_std_04,train/action_std_02,rollout/force_direction_mean,rollout/is_timeout_mean,rollout/ep_rew_mean,train/action_std_19,train/action_std_05,train/std_max,train/action_std_08,train/action_std_12,train/action_std_17,rollout/action_saturation_fraction,train/action_std_18,train/action_std_20,rollout/force_onset_mean,train/action_std_10,time/total_timesteps,train/action_std_00,train/action_std_13,time/fps,train/action_std_16,train/action_std_03,train/action_std_15,train/action_std_22,train/action_std_09,rollout/is_fall_mean,rollout/episodes_noforce,train/action_std_07,train/action_std_06,train/action_std_01,rollout/force_requested_impulse_mean,train/action_std_11,rollout/recovery_noforce,train/action_std_24,train/action_std_14,rollout/ep_len_mean,train/std_min,time/time_elapsed,train/action_std_21,train/entropy_loss,train/clip_fraction,train/clip_range,train/clip_range_vf,train/std,rollout/timeouts,rollout/timeout_without_onset_fraction,train/approx_kl,train/value_loss,train/loss,train/explained_variance,train/learning_rate,train/n_updates,train/policy_gradient_loss
1,0.04999999701976776,0.04999999701976776,0.04999999701976776,-1.0,0.0,228.9138946533203,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.0,0.04999999701976776,0.04999999701976776,1.2458571428571439,0.04999999701976776,131072,0.04999999701976776,0.04999999701976776,3200,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,1.0,56,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.0,0.04999999701976776,0.0,0.04999999701976776,0.04999999701976776,360.10714285714283,0.04999999701976776,40,0.04999999701976776,,,,,,,,,,,,,,
2,0.050128087401390076,0.05013314262032509,0.05017201602458954,-1.0,0.5862068965517241,649.1718139648438,0.050082605332136154,0.050117127597332,0.05017201602458954,0.05012674629688263,0.0500945970416069,0.05008740723133087,0.0,0.0500849224627018,0.05008424445986748,1.3986379310344836,0.050103865563869476,262144,0.05010736733675003,0.05010077357292175,2604,0.0500970222055912,0.05006176233291626,0.05010590702295303,0.05002898722887039,0.05008319392800331,0.41379310344827586,232,0.050102706998586655,0.050097450613975525,0.050144460052251816,0.0,0.05012490600347519,0.5862068965517241,0.050087276846170425,0.05007324740290642,975.22,0.05002898722887039,100,0.05011584982275963,39.39165204167366,0.11881637573242188,0.1,0.2,0.05010182783007622,136,0.0,0.0023717966,2.9035109989345074,3.811882495880127,-0.1508777141571045,1e-05,10,-0.0017986886835842596
3,0.05021116882562637,0.050179384648799896,0.05023987218737602,-1.0,0.26804123711340205,399.0836181640625,0.05016748234629631,0.05022668465971947,0.05026860535144806,0.05020586773753166,0.050160519778728485,0.050161212682724,0.0,0.05021495372056961,0.05019360035657883,1.4055051546391764,0.050209324806928635,393216,0.05024600401520729,0.05018538981676102,2464,0.05020977929234505,0.050192125141620636,0.05016431212425232,0.050156477838754654,0.050189387053251266,0.7319587628865979,97,0.05018176510930061,0.05026860535144806,0.05019620805978775,0.0,0.05025321617722511,0.26804123711340205,0.05021229386329651,0.05017765983939171,613.33,0.050156477838754654,159,0.050238173454999924,39.341244500875476,0.10833511352539063,0.1,0.2,0.0502016581594944,26,0.0,0.0021880409,1.2010305842384696,1.5121530294418335,-0.38329291343688965,1e-05,20,-0.0029701379726702727
4,0.05030282214283943,0.05028216168284416,0.05029051750898361,-1.0,0.5776699029126213,605.71337890625,0.050360314548015594,0.05027035251259804,0.050389353185892105,0.0502973273396492,0.050278838723897934,0.05026637390255928,0.0,0.050317585468292236,0.05032534897327423,1.3873883495145642,0.05033329129219055,524288,0.050315018743276596,0.050304114818573,2385,0.050298601388931274,0.05030207708477974,0.05029371753334999,0.050214819610118866,0.05036380887031555,0.4223300970873786,206,0.050255097448825836,0.050379082560539246,0.05029844492673874,0.0,0.05035717785358429,0.5776699029126213,0.05027904361486435,0.0502636544406414,917.77,0.050214819610118866,219,0.050389353185892105,39.290437278151515,0.10342483520507813,0.1,0.2,0.0503055565059185,119,0.0,0.0021456378,1.2574606586247683,1.6263251304626465,-0.49058640003204346,1e-05,30,-0.0026015902386461675
5,0.050436411052942276,0.05037355795502663,0.05035822466015816,-1.0,0.34507042253521125,473.138916015625,0.05045761540532112,0.05038417503237724,0.050479646772146225,0.05036954581737518,0.050429027527570724,0.05033782869577408,0.0,0.05037101358175278,0.050419047474861145,1.3290845070422546,0.05042862892150879,655360,0.05038495734333992,0.05040837451815605,2343,0.05039466544985771,0.05043015629053116,0.050353050231933594,0.05030614510178566,0.050473183393478394,0.6549295774647887,142,0.050330184400081635,0.050479646772146225,0.0504084937274456,0.0,0.05043252557516098,0.34507042253521125,0.05042465031147003,0.05038665235042572,720.02,0.05030614510178566,279,0.05044863000512123,39.241240507364274,0.10353164672851563,0.1,0.2,0.05040105804800987,49,0.0,0.0021902355,1.2365731140598655,1.6125733852386475,-0.19760429859161377,1e-05,40,-0.002530041229829294
6,0.050587598234415054,0.0504777692258358,0.05050186812877655,-1.0,0.4702702702702703,539.2745361328125,0.05061591416597366,0.05049901455640793,0.05061591416597366,0.05045968294143677,0.05050882697105408,0.05047857388854027,0.0,0.050452861934900284,0.05057740584015846,1.3791459459459472,0.050477758049964905,786432,0.050412531942129135,0.05049853399395943,2314,0.05052454397082329,0.05050739645957947,0.050451550632715225,0.05042712762951851,0.05056874826550484,0.5297297297297298,185,0.05038554593920708,0.05054039880633354,0.05048733577132225,0.0,0.0505259670317173,0.4702702702702703,0.050512079149484634,0.050539519637823105,824.45,0.05038554593920708,339,0.05055033043026924,39.19218433797359,0.10374908447265625,0.1,0.2,0.050502754747867584,87,0.0,0.0022173724,1.1747510974295436,1.5625338554382324,-0.08153712749481201,1e-05,50,-0.002775116421889834
7,0.05074140429496765,0.050541918724775314,0.05063021555542946,-1.0,0.4444444444444444,494.7309265136719,0.05074378848075867,0.050596270710229874,0.05074378848075867,0.0505748875439167,0.0505555123090744,0.05060134828090668,0.0,0.05053020641207695,0.05063276365399361,1.3447450980392166,0.05055371671915054,917504,0.050516825169324875,0.05052734166383743,2291,0.050576575100421906,0.05063675716519356,0.05057007446885109,0.050541870296001434,0.05064167082309723,0.5555555555555556,153,0.050479236990213394,0.05063476413488388,0.05058220773935318,0.0,0.05062677338719368,0.4444444444444444,0.05063273757696152,0.05063442885875702,765.28,0.050479236990213394,400,0.050620898604393005,39.14400036334992,0.10566787719726563,0.1,0.2,0.050596967339515686,68,0.0,0.0022480385,1.1259576403535903,1.4722126722335815,0.014913082122802734,1e-05,60,-0.0028188653874167357
8,0.0508037805557251,0.050663311034440994,0.050748348236083984,-1.0,0.5421686746987951,541.8050537109375,0.05084795132279396,0.050656259059906006,0.05084795132279396,0.050710927695035934,0.05064373463392258,0.05070118233561516,0.0,0.05065639317035675,0.050730105489492416,1.3874819277108443,0.050635285675525665,1048576,0.050624579191207886,0.050639208406209946,2275,0.05068876966834068,0.05074983835220337,0.05063129961490631,0.050679296255111694,0.0507584884762764,0.4578313253012048,166,0.05064988136291504,0.0507018007338047,0.05063127726316452,0.0,0.05075450614094734,0.5421686746987951,0.05074309930205345,0.05079013109207153,828.98,0.050624579191207886,460,0.050702814012765884,39.09442527592182,0.1049835205078125,0.1,0.2,0.05070168897509575,90,0.0,0.002238207,1.0675518471747636,1.4312701225280762,0.13551664352416992,1e-05,70,-0.0030998478036963206
9,0.05089957267045975,0.05075832083821297,0.050843745470047,-1.0,0.46060606060606063,500.1644287109375,0.050970904529094696,0.050725921988487244,0.050970904529094696,0.05082584172487259,0.0507274828851223,0.050763364881277084,0.0,0.050763003528118134,0.05090823769569397,1.381139393939395,0.05064979940652847,1179648,0.05070756375789642,0.05074317008256912,2263,0.050849903374910355,0.05084962397813797,0.0507025383412838,0.05076473206281662,0.05084235221147537,0.5393939393939394,165,0.05075981840491295,0.050813931971788406,0.05077432096004486,0.0,0.050816163420677185,0.46060606060606063,0.0507914274930954,0.050935883074998856,763.62,0.05064979940652847,521,0.050826545804739,39.04436621069908,0.10305252075195312,0.1,0.2,0.05080057308077812,76,0.0,0.00207726,1.0522030373103917,1.3937993049621582,0.07850950956344604,1e-05,80,-0.002682120460394799
10,0.05103800818324089,0.05087291821837425,0.05089854076504707,-1.0,0.5272727272727272,526.9600219726562,0.05106421187520027,0.05082264542579651,0.05106421187520027,0.0509122796356678,0.05083013325929642,0.05089304596185684,0.0,0.050851382315158844,0.05101950466632843,1.4009939393939403,0.05078329145908356,1310720,0.050835732370615005,0.05088545009493828,2253,0.05094742029905319,0.05093739926815033,0.05081187188625336,0.05083651840686798,0.05092047527432442,0.4727272727272727,165,0.050847332924604416,0.05093089118599892,0.050849951803684235,0.0,0.0509372316300869,0.5272727272727272,0.05088605731725693,0.05101831257343292,807.85,0.05078329145908356,581,0.05093228816986084,38.99490192830562,0.10585250854492187,0.1,0.2,0.05090251564979553,87,0.0,0.0021955497,0.9860865619033575,1.376988410949707,0.23768115043640137,1e-05,90,-0.002895364560981761
