time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/entropy_loss,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/std,rollout/ep_len_mean,train/explained_variance,train/clip_range_vf,train/n_updates,train/loss,train/approx_kl,train/learning_rate
3338,131072,39,1,,,,,,,,,,,,,,
2641,262144,99,2,3.196296924352646,39.498299145698546,66.34141540527344,0.1,0.10880813598632813,-0.001197281284339624,0.049889083951711655,1000.0,-0.2066289186477661,0.2,10,4.183135032653809,0.0022066068,1e-05
2492,393216,157,3,1.425805644877255,39.45211034417152,66.34141540527344,0.1,0.10099258422851562,-0.0010557889793744834,0.04997231438755989,1000.0,-0.5089460611343384,0.2,20,1.7539637088775635,0.0020295049,1e-05
2394,524288,218,4,1.4006381866522133,39.409899613261224,49.26032257080078,0.1,0.10489120483398437,-0.0011252994100686919,0.050056878477334976,1000.0,-2.5770070552825928,0.2,30,1.752561330795288,0.0021178303,1e-05
2353,655360,278,5,1.5409650673158466,39.3647447258234,49.26032257080078,0.1,0.109197998046875,-0.0011659131110491217,0.05015191063284874,1000.0,-1.8730816841125488,0.2,40,1.990095615386963,0.0022593453,1e-05
2314,786432,339,6,1.3072691002860666,39.31538652181625,51.37977600097656,0.1,0.10447463989257813,-0.0009298019510424638,0.050252579152584076,1000.0,-1.194589614868164,0.2,50,1.7337729930877686,0.0020786966,1e-05
2295,917504,399,7,1.7140991737134754,39.2666804343462,51.37977600097656,0.1,0.10785751342773438,-0.0008830869654957496,0.05035056173801422,1000.0,-1.9750962257385254,0.2,60,2.1274783611297607,0.0021016267,1e-05
2271,1048576,461,8,1.0787856144364922,39.2168983310461,51.540340423583984,0.1,0.10710906982421875,-0.0013229210551799042,0.050451114773750305,1000.0,0.16122686862945557,0.2,70,1.4928057193756104,0.002127396,1e-05
2263,1179648,521,9,1.565702711045742,39.169463047385214,51.540340423583984,0.1,0.11055908203125,-0.001274172762919079,0.05054346099495888,1000.0,-1.002960205078125,0.2,80,1.9859565496444702,0.0021575317,1e-05
2233,1310720,586,10,1.1334138292819262,39.1243338227272,50.452762603759766,0.1,0.1039794921875,-0.0010743663809080317,0.0506327785551548,944.78,-1.5458204746246338,0.2,90,1.592376470565796,0.002096654,1e-05
