time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/learning_rate,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/std,train/explained_variance,train/clip_range,train/approx_kl,train/entropy_loss,train/clip_range_vf
131072,9,509.5833333333333,24.0736083984375,13446,1,,,,,,,,,,,,
262144,27,994.43,46.12379837036133,9625,2,1e-06,0.022687530517578124,0.6055644750595093,-0.0017199746892856637,0.2926891938899644,1540,0.0674355998635292,0.884377121925354,0.1,0.0011930455,31.944360145926474,0.2
393216,44,693.76,32.01520919799805,8780,3,1e-06,0.021990203857421876,1.2783814668655396,-0.00197710066640866,0.8770503692794591,1550,0.06745526194572449,0.8112033605575562,0.1,0.0011848973,31.938442511856557,0.2
524288,62,984.64,45.80418395996094,8455,4,1e-06,0.025249481201171875,0.6909267902374268,-0.002337929716168219,0.3540087173227221,1560,0.06747245043516159,0.9172296524047852,0.1,0.0012096353,31.931603924930094,0.2
655360,78,947.44,43.698585510253906,8343,5,1e-06,0.02675018310546875,1.0957074165344238,-0.0021823451457294142,0.7120066569186747,1570,0.0674915537238121,0.849120557308197,0.1,0.0012807902,31.924902614951133,0.2
786432,95,860.56,40.77463150024414,8207,6,1e-06,0.027618408203125,0.6518611907958984,-0.001893441671745677,0.4021364762913436,1580,0.06751083582639694,0.8294625282287598,0.1,0.001267016,31.917738914489746,0.2
917504,112,765.55,36.1347770690918,8145,7,1e-06,0.031589508056640625,1.5091893672943115,-0.0021053904181826512,1.089766431832686,1590,0.06752599030733109,0.7888931632041931,0.1,0.0013499181,31.911374014616012,0.2
1048576,129,780.82,35.471710205078125,8083,8,1e-06,0.028199005126953124,0.7781074047088623,-0.002040774845613669,0.5919656185433269,1600,0.0675453469157219,0.880066990852356,0.1,0.0012724913,31.904986867308615,0.2
1179648,148,833.26,38.3603401184082,7959,9,1e-06,0.026064300537109376,0.9477483630180359,-0.002303529511937086,0.574973128689453,1610,0.067562535405159,0.9086852073669434,0.1,0.0012444997,31.898260533809662,0.2
1310720,166,705.12,32.528297424316406,7871,10,1e-06,0.02454681396484375,0.9036771059036255,-0.002078316632469068,0.6364897658815607,1620,0.06757881492376328,0.8824204802513123,0.1,0.001233959,31.892036689817907,0.2
1441792,184,818.57,37.503074645996094,7819,11,1e-06,0.025899505615234374,0.8747603893280029,-0.002143858894487494,0.5999981533037498,1630,0.06759551167488098,0.8955241441726685,0.1,0.0012593452,31.88594168126583,0.2
1572864,202,613.14,28.299217224121094,7777,12,1e-06,0.026232147216796876,0.9901473522186279,-0.002083802922925315,0.6872963665053249,1640,0.06761308014392853,0.892515242099762,0.1,0.0012547632,31.87958623468876,0.2
1703936,220,742.95,34.17509841918945,7741,13,1e-06,0.0288055419921875,0.7862458229064941,-0.0023381226872515983,0.5336443420965225,1650,0.06763123720884323,0.9149971604347229,0.1,0.0012797273,31.872976280748844,0.2
1835008,238,664.87,30.66946029663086,7704,14,1e-06,0.025045013427734374,1.0976470708847046,-0.0020994712504489145,0.6713443655986339,1660,0.06765052676200867,0.8806053400039673,0.1,0.0012436435,31.86607451736927,0.2
1966080,255,704.4,32.557212829589844,7685,15,1e-06,0.023339080810546874,1.0362154245376587,-0.0021795044133796184,0.6537282445468009,1670,0.06766805052757263,0.9068947434425354,0.1,0.0012075228,31.859232537448406,0.2
2097152,273,791.28,36.64731979370117,7654,16,1e-06,0.0285491943359375,0.801134467124939,-0.0022602609142268193,0.5271217838628217,1680,0.06768794357776642,0.8926190733909607,0.1,0.0012887096,31.852354118227957,0.2
2228224,292,752.47,34.46574401855469,7629,17,1e-06,0.025565338134765626,0.8889226913452148,-0.0019405693945145686,0.6884720337809995,1690,0.06770622730255127,0.8654860258102417,0.1,0.001244054,31.845262497663498,0.2
2359296,309,880.43,40.290199279785156,7614,18,1e-06,0.02700042724609375,0.9571285247802734,-0.0022474087345017322,0.5518137026345358,1700,0.06772350519895554,0.882017970085144,0.1,0.0012659227,31.838724169135094,0.2
2490368,327,888.55,41.372745513916016,7610,19,1e-06,0.0266021728515625,0.9378212690353394,-0.0021616389451082794,0.6392170467413962,1710,0.06774358451366425,0.860058069229126,0.1,0.0012658308,31.83187171816826,0.2
2621440,344,932.74,43.950469970703125,7602,20,1e-06,0.029212188720703126,0.8854696750640869,-0.0020099913158901474,0.5909308572532609,1720,0.06776215881109238,0.8021190166473389,0.1,0.0012558463,31.824679592251776,0.2
2752512,362,765.85,35.14506530761719,7596,21,1e-06,0.02998199462890625,1.1127235889434814,-0.002156977393474335,0.7900664624758065,1730,0.06778156757354736,0.8001495599746704,0.1,0.0013189679,31.817693883180617,0.2
2883584,379,884.45,39.93748092651367,7588,22,1e-06,0.024668121337890626,0.8600929975509644,-0.0019773005843489954,0.5533042746596039,1740,0.0677989050745964,0.8903710842132568,0.1,0.0011875251,31.81093099564314,0.2
3014656,397,823.41,37.54876708984375,7580,23,1e-06,0.027542877197265624,0.8849194049835205,-0.0021579431843292696,0.5991237407550216,1750,0.06781530380249023,0.8786187767982483,0.1,0.0012870864,31.804695934057236,0.2
3145728,415,772.58,35.86920928955078,7573,24,1e-06,0.02637786865234375,0.9960699081420898,-0.002034819040545699,0.6523302943911403,1760,0.0678347572684288,0.8649472594261169,0.1,0.0012521085,31.798108673095705,0.2
3276800,432,784.12,36.08253479003906,7569,25,1e-06,0.02596893310546875,0.8488137125968933,-0.0021435441538415036,0.656537207099609,1770,0.06785240769386292,0.8670808672904968,0.1,0.0012469862,31.791238847374917,0.2
3407872,450,767.43,35.65052795410156,7568,26,1e-06,0.026912689208984375,0.8714108467102051,-0.002210162039136776,0.6188322325469926,1780,0.06787053495645523,0.8900324702262878,0.1,0.0012636976,31.784680703282355,0.2
3538944,467,822.4,37.832149505615234,7567,27,1e-06,0.02801971435546875,0.8992254734039307,-0.002248977297676902,0.6459512272151187,1790,0.06788748502731323,0.8800386190414429,0.1,0.0012784759,31.77822973430157,0.2
3670016,485,810.2,37.833072662353516,7563,28,1e-06,0.026506805419921876,0.9917992353439331,-0.002084122588894388,0.6361513447249308,1800,0.0679057165980339,0.8714107871055603,0.1,0.0012549887,31.771737511456013,0.2
3801088,502,785.82,36.64544677734375,7561,29,1e-06,0.026751708984375,0.9414523839950562,-0.0021453943536471343,0.6557750599225983,1810,0.06792185455560684,0.8543202877044678,0.1,0.0012611742,31.765420427918436,0.2
3932160,520,747.03,34.56517791748047,7552,30,1e-06,0.026093292236328124,1.1678110361099243,-0.002100171349957236,0.7409834214020521,1820,0.06794087588787079,0.8572171330451965,0.1,0.0012530343,31.75894520431757,0.2
4063232,538,725.18,33.419952392578125,7551,31,1e-06,0.0269500732421875,1.0634167194366455,-0.002197344367982623,0.6429091339930892,1830,0.0679595097899437,0.891852080821991,0.1,0.0012593584,31.75200822800398,0.2
4194304,555,812.89,37.5869255065918,7545,32,1e-06,0.0270599365234375,1.0043416023254395,-0.00212332473583956,0.6623074172064662,1840,0.06797582656145096,0.8805901408195496,0.1,0.0012583544,31.745563365519047,0.2
