Wall time,Step,Value
1760866400.2704535,524288,861.3200073242188
1760866449.0620449,1048576,799.0399780273438
1760866498.4602573,1572864,724.239990234375
1760866548.036914,2097152,674.0499877929688
1760866597.710603,2621440,641.030029296875
1760866647.426469,3145728,646.47998046875
1760866697.1463082,3670016,658.2000122070312
1760866746.6431012,4194304,573.8900146484375
1760866796.6312308,4718592,682.3099975585938
1760866846.6936474,5242880,688.0700073242188
1760866897.0157743,5767168,637.6500244140625
1760866949.3759823,6291456,665.260009765625
1760866999.0942335,6815744,726.25
1760867048.2846963,7340032,694.6799926757812
1760867097.7117486,7864320,707.2999877929688
1760867147.1779912,8388608,668.0599975585938
1760867196.5647035,8912896,691.1500244140625
1760867246.648038,9437184,625.219970703125
1760867297.0838985,9961472,666.3400268554688
1760867346.9701536,10485760,674.0900268554688
1760867397.1082397,11010048,654.6400146484375
1760867446.522523,11534336,628.010009765625
1760867496.3901684,12058624,682.8499755859375
1760867546.8138962,12582912,703.260009765625
1760867596.3121936,13107200,667.97998046875
1760867645.9963613,13631488,641.030029296875
1760867695.5502927,14155776,719.510009765625
1760867744.983738,14680064,713.6199951171875
1760867796.1824727,15204352,672.22998046875
1760867847.048606,15728640,730.3099975585938
1760867897.5562975,16252928,699.719970703125
1760867948.2362735,16777216,717.4299926757812
1760867998.6423295,17301504,778.6500244140625
1760868049.4881976,17825792,678.8699951171875
1760868100.3370805,18350080,638.4000244140625
1760868151.2086904,18874368,704.6799926757812
