time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/clip_range_vf,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/std,train/entropy_loss,train/learning_rate,train/clip_range
1,9058,1,16384,23.43988037109375,232.6,,,,,,,,,,,,
2,6628,4,32768,26.35943603515625,390.6923076923077,10,0.15008544921875,4.706747055053711,-0.07132267951965332,0.2,-0.009081682593387087,0.0032512061,3.03326116502285,0.04984873905777931,36.35032947063446,1e-05,0.1
3,5825,8,49152,23.014015197753906,449.7590361445783,20,0.1251220703125,2.429265022277832,-0.2370389699935913,0.2,-0.009880887834879105,0.002894708,0.7152468521147967,0.04990607127547264,36.3230278968811,1e-05,0.1
4,5479,11,65536,20.866655349731445,501.62,30,0.135919189453125,2.527639627456665,0.10508620738983154,0.2,-0.010695914941607043,0.0030283406,0.7782614756375551,0.049963828176259995,36.296534752845766,1e-05,0.1
5,5236,15,81920,21.74970245361328,598.8,40,0.143438720703125,2.470221519470215,0.19278454780578613,0.2,-0.01128725111775566,0.0032728426,0.7468439999967813,0.05002683028578758,36.268857550621036,1e-05,0.1
6,5007,19,98304,18.237333297729492,560.13,50,0.132623291015625,2.4528331756591797,0.5200473070144653,0.2,-0.010551497501728591,0.0031002196,0.7432479947805405,0.050089120864868164,36.23986613750458,1e-05,0.1
7,4934,23,114688,21.249671936035156,629.0,60,0.132147216796875,2.4830353260040283,0.5420876741409302,0.2,-0.009993566331104375,0.0030360725,0.7357722986489534,0.05014655366539955,36.21235294342041,1e-05,0.1
8,4909,26,131072,19.5197811126709,577.27,70,0.148565673828125,2.459557294845581,0.5894695520401001,0.2,-0.010782886027300265,0.0032568397,0.7371847670525312,0.050204623490571976,36.18598642349243,1e-05,0.1
9,4873,30,147456,19.981273651123047,585.01,80,0.140582275390625,2.507737636566162,0.6983664035797119,0.2,-0.010891622611961794,0.0030940338,0.740422498062253,0.0502619594335556,36.15955398082733,1e-05,0.1
10,4776,34,163840,18.4310302734375,547.32,90,0.14996337890625,2.3833439350128174,0.7067821621894836,0.2,-0.01147835360316094,0.0032564572,0.6629626892507077,0.05032159388065338,36.132737040519714,1e-05,0.1
11,4804,37,180224,18.349205017089844,544.45,100,0.127801513671875,2.4026856422424316,0.7264506816864014,0.2,-0.011199099897203269,0.0030559008,0.6508920006453991,0.050379909574985504,36.10581862926483,1e-05,0.1
12,4817,40,196608,18.040420532226562,531.07,110,0.1413330078125,2.4953222274780273,0.7632629871368408,0.2,-0.011423011736769694,0.0031766086,0.7882149439305067,0.05043579265475273,36.079687762260434,1e-05,0.1
