time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_range_vf,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/std,train/explained_variance,train/entropy_loss
1,292.3636363636364,1,7.783309459686279,16384,9587,,,,,,,,,,,,
2,654.5405405405405,4,21.89777946472168,32768,6820,0.2,-0.007961469738802407,5e-06,0.0654541015625,1.3200979232788086,0.0020908331,4500,0.1,0.15280125206336378,0.0871889516711235,0.9429598450660706,23.483228170871733
3,650.4912280701755,8,21.981494903564453,49152,5851,0.2,-0.007139481679041637,5e-06,0.094952392578125,1.6019597053527832,0.00264521,4510,0.1,0.45895378235727546,0.0872437134385109,0.8332607746124268,23.470155942440034
4,618.3516483516484,11,20.421119689941406,65536,5717,0.2,-0.006781402175693074,5e-06,0.082147216796875,1.549874186515808,0.0024071822,4520,0.1,0.3280625025741756,0.08729632198810577,0.8720899820327759,23.455943155288697
5,656.87,14,22.180395126342773,81920,5616,0.2,-0.008124050612968859,5e-06,0.08184814453125,1.5426385402679443,0.0024695247,4530,0.1,0.3446145888417959,0.08734332770109177,0.9200853705406189,23.442767095565795
6,614.01,18,20.37786865234375,98304,5459,0.2,-0.007205165379855316,5e-06,0.0794677734375,1.4072221517562866,0.0024376407,4540,0.1,0.3531209720298648,0.08739566802978516,0.904716432094574,23.429819178581237
7,647.64,21,21.455272674560547,114688,5373,0.2,-0.007219452381832525,5e-06,0.092041015625,1.3781459331512451,0.002628123,4550,0.1,0.21742492951452733,0.08744978159666061,0.9220984578132629,23.415797972679137
8,697.18,24,23.407094955444336,131072,5335,0.2,-0.007192408843548037,5e-06,0.09178466796875,1.5523018836975098,0.0025596828,4560,0.1,0.42674923278391363,0.08750494569540024,0.8605666756629944,23.4014044880867
9,700.73,27,23.251609802246094,147456,5321,0.2,-0.007081987349374685,5e-06,0.0802734375,1.4307857751846313,0.0023862792,4570,0.1,0.32615764560177923,0.08756076544523239,0.8866495490074158,23.38682414293289
10,733.86,30,24.56749725341797,163840,5301,0.2,-0.007921200506098102,5e-06,0.079937744140625,1.4064083099365234,0.0023513106,4580,0.1,0.20411751815117896,0.08760962635278702,0.9295649528503418,23.372965335845947
11,697.2,34,22.929607391357422,180224,5291,0.2,-0.007449807914235862,5e-06,0.08704833984375,1.3891727924346924,0.0025705423,4590,0.1,0.3070114334113896,0.08766521513462067,0.9228869676589966,23.359448432922363
12,656.22,37,21.66903305053711,196608,5293,0.2,-0.008736465449328535,5e-06,0.082611083984375,1.435111403465271,0.0024727816,4600,0.1,0.2736601347103715,0.0877164751291275,0.9274284839630127,23.34536805152893
13,644.16,40,21.530746459960938,212992,5293,0.2,-0.007379338606551755,5e-06,0.07650146484375,1.41461980342865,0.0023364092,4610,0.1,0.2737715868279338,0.08777403086423874,0.9220250248908997,23.331100392341614
14,630.0,43,21.091354370117188,229376,5294,0.2,-0.007286391784145962,5e-06,0.06856689453125,1.3963475227355957,0.0022106117,4620,0.1,0.23867036951705814,0.08782979846000671,0.941626787185669,23.31621598005295
15,656.06,46,22.25723648071289,245760,5289,0.2,-0.007146680948790163,5e-06,0.07569580078125,1.4141680002212524,0.0023164137,4630,0.1,0.36292091896757483,0.08788490295410156,0.8964822292327881,23.301690137386323
16,667.8,49,22.441892623901367,262144,5287,0.2,-0.007237944461667212,5e-06,0.086236572265625,1.4387030601501465,0.0024490454,4640,0.1,0.2875146321952343,0.08793801814317703,0.915718674659729,23.28758990764618
17,702.88,52,23.802349090576172,278528,5289,0.2,-0.007168281255871989,5e-06,0.068328857421875,1.368722915649414,0.002240496,4650,0.1,0.1726768777705729,0.08799099177122116,0.9447730779647827,23.27374505996704
18,682.2,55,23.0288028717041,294912,5280,0.2,-0.0062723872877541,5e-06,0.079656982421875,1.818451166152954,0.002485226,4660,0.1,0.4667430341243744,0.08804575353860855,0.8503386974334717,23.25953277349472
19,703.99,58,23.79924774169922,311296,5281,0.2,-0.007894359679630725,5e-06,0.081170654296875,1.3904705047607422,0.0023892326,4670,0.1,0.21229274943470955,0.08810223639011383,0.9365344047546387,23.24518164396286
20,710.37,62,24.407896041870117,327680,5278,0.2,-0.006899669471022207,5e-06,0.09112548828125,1.352563500404358,0.002575737,4680,0.1,0.27490175794810057,0.08815529942512512,0.908528208732605,23.230752861499788
21,721.42,65,24.73792266845703,344064,5238,0.2,-0.006719988942495547,5e-06,0.07784423828125,1.4168123006820679,0.0023751843,4690,0.1,0.31790626952424644,0.08821195363998413,0.8878308534622192,23.216490924358368
22,708.67,68,23.90558624267578,360448,5225,0.2,-0.0071771265254938045,5e-06,0.087030029296875,1.4193955659866333,0.0024786666,4700,0.1,0.2939026619307697,0.08826728165149689,0.9187834858894348,23.201818907260893
23,697.63,72,23.548032760620117,376832,5225,0.2,-0.007127450138796121,5e-06,0.080963134765625,1.4293397665023804,0.0024333973,4710,0.1,0.3358558174222708,0.0883176252245903,0.9032652378082275,23.188115382194518
24,682.44,75,22.777311325073242,393216,5224,0.2,-0.007619996978610289,5e-06,0.088372802734375,1.3468616008758545,0.0025230977,4720,0.1,0.305838502664119,0.0883723646402359,0.9243967533111572,23.174442994594575
25,701.61,78,23.6169376373291,409600,5225,0.2,-0.006597890723060118,5e-06,0.0696533203125,1.3771899938583374,0.0021681758,4730,0.1,0.19536379761993886,0.08842381089925766,0.9356716871261597,23.160581243038177
26,684.01,81,23.17058563232422,425984,5226,0.2,-0.006602627018583007,5e-06,0.0769775390625,1.6450748443603516,0.0023687105,4740,0.1,0.47433673646301033,0.08847595006227493,0.8659969568252563,23.14710052013397
