Logging to ./data/v1_ours_add/tb
----------------------------------------------
| rollout/                        |          |
|    action_saturation_fraction   | 0        |
|    ep_len_mean                  | 336      |
|    ep_rew_mean                  | 227      |
|    episodes_noforce             | 8        |
|    force_direction_mean         | -1       |
|    force_onset_mean             | 1.11     |
|    force_requested_impulse_mean | 0        |
|    is_fall_mean                 | 1        |
|    is_timeout_mean              | 0        |
|    recovery_noforce             | 0        |
| time/                           |          |
|    fps                          | 5470     |
|    iterations                   | 1        |
|    time_elapsed                 | 23       |
|    total_timesteps              | 131072   |
| train/                          |          |
|    action_std_00                | 0.05     |
|    action_std_01                | 0.05     |
|    action_std_02                | 0.05     |
|    action_std_03                | 0.05     |
|    action_std_04                | 0.05     |
|    action_std_05                | 0.05     |
|    action_std_06                | 0.05     |
|    action_std_07                | 0.05     |
|    action_std_08                | 0.05     |
|    action_std_09                | 0.05     |
|    action_std_10                | 0.05     |
|    action_std_11                | 0.05     |
|    action_std_12                | 0.05     |
|    action_std_13                | 0.05     |
|    action_std_14                | 0.05     |
|    action_std_15                | 0.05     |
|    action_std_16                | 0.05     |
|    action_std_17                | 0.05     |
|    action_std_18                | 0.05     |
|    action_std_19                | 0.05     |
|    action_std_20                | 0.05     |
|    action_std_21                | 0.05     |
|    action_std_22                | 0.05     |
|    action_std_23                | 0.05     |
|    action_std_24                | 0.05     |
|    std_max                      | 0.05     |
|    std_min                      | 0.05     |
----------------------------------------------
----------------------------------------------------
| rollout/                          |              |
|    action_saturation_fraction     | 0            |
|    ep_len_mean                    | 1e+03        |
|    ep_rew_mean                    | 681          |
|    episodes_noforce               | 248          |
|    force_direction_mean           | -1           |
|    force_onset_mean               | 1.41         |
|    force_requested_impulse_mean   | 0            |
|    is_fall_mean                   | 0.0323       |
|    is_timeout_mean                | 0.968        |
|    recovery_noforce               | 0.968        |
|    timeout_without_onset_fraction | 0            |
|    timeouts                       | 240          |
| time/                             |              |
|    fps                            | 4951         |
|    iterations                     | 2            |
|    time_elapsed                   | 52           |
|    total_timesteps                | 262144       |
| train/                            |              |
|    action_std_00                  | 0.0501       |
|    action_std_01                  | 0.0501       |
|    action_std_02                  | 0.0501       |
|    action_std_03                  | 0.05         |
|    action_std_04                  | 0.0501       |
|    action_std_05                  | 0.0501       |
|    action_std_06                  | 0.0501       |
|    action_std_07                  | 0.0501       |
|    action_std_08                  | 0.0501       |
|    action_std_09                  | 0.0501       |
|    action_std_10                  | 0.0501       |
|    action_std_11                  | 0.05         |
|    action_std_12                  | 0.0501       |
|    action_std_13                  | 0.0501       |
|    action_std_14                  | 0.0501       |
|    action_std_15                  | 0.0501       |
|    action_std_16                  | 0.0501       |
|    action_std_17                  | 0.0501       |
|    action_std_18                  | 0.0501       |
|    action_std_19                  | 0.0501       |
|    action_std_20                  | 0.0501       |
|    action_std_21                  | 0.0501       |
|    action_std_22                  | 0.0501       |
|    action_std_23                  | 0.0501       |
|    action_std_24                  | 0.0501       |
|    approx_kl                      | 0.0025105467 |
|    clip_fraction                  | 0.126        |
|    clip_range                     | 0.1          |
|    clip_range_vf                  | 0.2          |
|    entropy_loss                   | 39.4         |
|    explained_variance             | -0.166       |
|    learning_rate                  | 1e-05        |
|    loss                           | 3.9          |
|    n_updates                      | 10           |
|    policy_gradient_loss           | -0.00215     |
|    std                            | 0.0501       |
|    std_max                        | 0.0501       |
|    std_min                        | 0.05         |
|    value_loss                     | 2.92         |
----------------------------------------------------
----------------------------------------------------
| rollout/                          |              |
|    action_saturation_fraction     | 0            |
|    ep_len_mean                    | 937          |
|    ep_rew_mean                    | 637          |
|    episodes_noforce               | 17           |
|    force_direction_mean           | -1           |
|    force_onset_mean               | 1.22         |
|    force_requested_impulse_mean   | 0            |
|    is_fall_mean                   | 0.529        |
|    is_timeout_mean                | 0.471        |
|    recovery_noforce               | 0.471        |
|    timeout_without_onset_fraction | 0            |
|    timeouts                       | 8            |
| time/                             |              |
|    fps                            | 4853         |
|    iterations                     | 3            |
|    time_elapsed                   | 81           |
|    total_timesteps                | 393216       |
| train/                            |              |
|    action_std_00                  | 0.0502       |
|    action_std_01                  | 0.0501       |
|    action_std_02                  | 0.0502       |
|    action_std_03                  | 0.0502       |
|    action_std_04                  | 0.0501       |
|    action_std_05                  | 0.0501       |
|    action_std_06                  | 0.0503       |
|    action_std_07                  | 0.0502       |
|    action_std_08                  | 0.0502       |
|    action_std_09                  | 0.0502       |
|    action_std_10                  | 0.0502       |
|    action_std_11                  | 0.0501       |
|    action_std_12                  | 0.0502       |
|    action_std_13                  | 0.0503       |
|    action_std_14                  | 0.0502       |
|    action_std_15                  | 0.0502       |
|    action_std_16                  | 0.0502       |
|    action_std_17                  | 0.0501       |
|    action_std_18                  | 0.0501       |
|    action_std_19                  | 0.0502       |
|    action_std_20                  | 0.0502       |
|    action_std_21                  | 0.0502       |
|    action_std_22                  | 0.0501       |
|    action_std_23                  | 0.0502       |
|    action_std_24                  | 0.0502       |
|    approx_kl                      | 0.0021657979 |
|    clip_fraction                  | 0.107        |
|    clip_range                     | 0.1          |
|    clip_range_vf                  | 0.2          |
|    entropy_loss                   | 39.3         |
|    explained_variance             | -1.15        |
|    learning_rate                  | 1e-05        |
|    loss                           | 1.83         |
|    n_updates                      | 20           |
|    policy_gradient_loss           | -0.00162     |
|    std                            | 0.0502       |
|    std_max                        | 0.0503       |
|    std_min                        | 0.0501       |
|    value_loss                     | 1.46         |
----------------------------------------------------
--------------------------------------------------
| rollout/                          |            |
|    action_saturation_fraction     | 0          |
|    ep_len_mean                    | 996        |
|    ep_rew_mean                    | 679        |
|    episodes_noforce               | 240        |
|    force_direction_mean           | -1         |
|    force_onset_mean               | 1.4        |
|    force_requested_impulse_mean   | 0          |
|    is_fall_mean                   | 0.0375     |
|    is_timeout_mean                | 0.963      |
|    recovery_noforce               | 0.963      |
|    timeout_without_onset_fraction | 0          |
|    timeouts                       | 231        |
| time/                             |            |
|    fps                            | 4740       |
|    iterations                     | 4          |
|    time_elapsed                   | 110        |
|    total_timesteps                | 524288     |
| train/                            |            |
|    action_std_00                  | 0.0503     |
|    action_std_01                  | 0.0503     |
|    action_std_02                  | 0.0503     |
|    action_std_03                  | 0.0503     |
|    action_std_04                  | 0.0503     |
|    action_std_05                  | 0.0502     |
|    action_std_06                  | 0.0503     |
|    action_std_07                  | 0.0503     |
|    action_std_08                  | 0.0503     |
|    action_std_09                  | 0.0503     |
|    action_std_10                  | 0.0502     |
|    action_std_11                  | 0.0502     |
|    action_std_12                  | 0.0503     |
|    action_std_13                  | 0.0504     |
|    action_std_14                  | 0.0503     |
|    action_std_15                  | 0.0502     |
|    action_std_16                  | 0.0503     |
|    action_std_17                  | 0.0502     |
|    action_std_18                  | 0.0502     |
|    action_std_19                  | 0.0503     |
|    action_std_20                  | 0.0503     |
|    action_std_21                  | 0.0503     |
|    action_std_22                  | 0.0503     |
|    action_std_23                  | 0.0503     |
|    action_std_24                  | 0.0503     |
|    approx_kl                      | 0.00214689 |
|    clip_fraction                  | 0.111      |
|    clip_range                     | 0.1        |
|    clip_range_vf                  | 0.2        |
|    entropy_loss                   | 39.3       |
|    explained_variance             | -2.18      |
|    learning_rate                  | 1e-05      |
|    loss                           | 1.81       |
|    n_updates                      | 30         |
|    policy_gradient_loss           | -0.0016    |
|    std                            | 0.0503     |
|    std_max                        | 0.0504     |
|    std_min                        | 0.0502     |
|    value_loss                     | 1.47       |
--------------------------------------------------
----------------------------------------------------
| rollout/                          |              |
|    action_saturation_fraction     | 0            |
|    ep_len_mean                    | 944          |
|    ep_rew_mean                    | 642          |
|    episodes_noforce               | 26           |
|    force_direction_mean           | -1           |
|    force_onset_mean               | 1.4          |
|    force_requested_impulse_mean   | 0            |
|    is_fall_mean                   | 0.346        |
|    is_timeout_mean                | 0.654        |
|    recovery_noforce               | 0.654        |
|    timeout_without_onset_fraction | 0            |
|    timeouts                       | 17           |
| time/                             |              |
|    fps                            | 4701         |
|    iterations                     | 5            |
|    time_elapsed                   | 139          |
|    total_timesteps                | 655360       |
| train/                            |              |
|    action_std_00                  | 0.0504       |
|    action_std_01                  | 0.0503       |
|    action_std_02                  | 0.0503       |
|    action_std_03                  | 0.0503       |
|    action_std_04                  | 0.0503       |
|    action_std_05                  | 0.0503       |
|    action_std_06                  | 0.0504       |
|    action_std_07                  | 0.0504       |
|    action_std_08                  | 0.0504       |
|    action_std_09                  | 0.0505       |
|    action_std_10                  | 0.0503       |
|    action_std_11                  | 0.0503       |
|    action_std_12                  | 0.0504       |
|    action_std_13                  | 0.0505       |
|    action_std_14                  | 0.0503       |
|    action_std_15                  | 0.0503       |
|    action_std_16                  | 0.0503       |
|    action_std_17                  | 0.0503       |
|    action_std_18                  | 0.0503       |
|    action_std_19                  | 0.0504       |
|    action_std_20                  | 0.0503       |
|    action_std_21                  | 0.0503       |
|    action_std_22                  | 0.0504       |
|    action_std_23                  | 0.0504       |
|    action_std_24                  | 0.0505       |
|    approx_kl                      | 0.0022231066 |
|    clip_fraction                  | 0.115        |
|    clip_range                     | 0.1          |
|    clip_range_vf                  | 0.2          |
|    entropy_loss                   | 39.3         |
|    explained_variance             | -1.14        |
|    learning_rate                  | 1e-05        |
|    loss                           | 1.84         |
|    n_updates                      | 40           |
|    policy_gradient_loss           | -0.00187     |
|    std                            | 0.0504       |
|    std_max                        | 0.0505       |
|    std_min                        | 0.0503       |
|    value_loss                     | 1.49         |
----------------------------------------------------
----------------------------------------------------
| rollout/                          |              |
|    action_saturation_fraction     | 0            |
|    ep_len_mean                    | 1e+03        |
|    ep_rew_mean                    | 683          |
|    episodes_noforce               | 232          |
|    force_direction_mean           | -1           |
|    force_onset_mean               | 1.39         |
|    force_requested_impulse_mean   | 0            |
|    is_fall_mean                   | 0.0345       |
|    is_timeout_mean                | 0.966        |
|    recovery_noforce               | 0.966        |
|    timeout_without_onset_fraction | 0            |
|    timeouts                       | 224          |
| time/                             |              |
|    fps                            | 4649         |
|    iterations                     | 6            |
|    time_elapsed                   | 169          |
|    total_timesteps                | 786432       |
| train/                            |              |
|    action_std_00                  | 0.0505       |
|    action_std_01                  | 0.0504       |
|    action_std_02                  | 0.0504       |
|    action_std_03                  | 0.0505       |
|    action_std_04                  | 0.0505       |
|    action_std_05                  | 0.0504       |
|    action_std_06                  | 0.0506       |
|    action_std_07                  | 0.0505       |
|    action_std_08                  | 0.0506       |
|    action_std_09                  | 0.0506       |
|    action_std_10                  | 0.0504       |
|    action_std_11                  | 0.0504       |
|    action_std_12                  | 0.0505       |
|    action_std_13                  | 0.0505       |
|    action_std_14                  | 0.0505       |
|    action_std_15                  | 0.0504       |
|    action_std_16                  | 0.0505       |
|    action_std_17                  | 0.0504       |
|    action_std_18                  | 0.0504       |
|    action_std_19                  | 0.0504       |
|    action_std_20                  | 0.0504       |
|    action_std_21                  | 0.0504       |
|    action_std_22                  | 0.0505       |
|    action_std_23                  | 0.0505       |
|    action_std_24                  | 0.0504       |
|    approx_kl                      | 0.0022228365 |
|    clip_fraction                  | 0.11         |
|    clip_range                     | 0.1          |
|    clip_range_vf                  | 0.2          |
|    entropy_loss                   | 39.2         |
|    explained_variance             | -1.27        |
|    learning_rate                  | 1e-05        |
|    loss                           | 1.81         |
|    n_updates                      | 50           |
|    policy_gradient_loss           | -0.00184     |
|    std                            | 0.0505       |
|    std_max                        | 0.0506       |
|    std_min                        | 0.0504       |
|    value_loss                     | 1.46         |
----------------------------------------------------
----------------------------------------------------
| rollout/                          |              |
|    action_saturation_fraction     | 0            |
|    ep_len_mean                    | 962          |
|    ep_rew_mean                    | 655          |
|    episodes_noforce               | 33           |
|    force_direction_mean           | -1           |
|    force_onset_mean               | 1.45         |
|    force_requested_impulse_mean   | 0            |
|    is_fall_mean                   | 0.212        |
|    is_timeout_mean                | 0.788        |
|    recovery_noforce               | 0.788        |
|    timeout_without_onset_fraction | 0            |
|    timeouts                       | 26           |
| time/                             |              |
|    fps                            | 4631         |
|    iterations                     | 7            |
|    time_elapsed                   | 198          |
|    total_timesteps                | 917504       |
| train/                            |              |
|    action_std_00                  | 0.0506       |
|    action_std_01                  | 0.0505       |
|    action_std_02                  | 0.0505       |
|    action_std_03                  | 0.0506       |
|    action_std_04                  | 0.0506       |
|    action_std_05                  | 0.0505       |
|    action_std_06                  | 0.0507       |
|    action_std_07                  | 0.0506       |
|    action_std_08                  | 0.0507       |
|    action_std_09                  | 0.0507       |
|    action_std_10                  | 0.0505       |
|    action_std_11                  | 0.0505       |
|    action_std_12                  | 0.0506       |
|    action_std_13                  | 0.0506       |
|    action_std_14                  | 0.0505       |
|    action_std_15                  | 0.0505       |
|    action_std_16                  | 0.0506       |
|    action_std_17                  | 0.0505       |
|    action_std_18                  | 0.0506       |
|    action_std_19                  | 0.0505       |
|    action_std_20                  | 0.0505       |
|    action_std_21                  | 0.0505       |
|    action_std_22                  | 0.0506       |
|    action_std_23                  | 0.0506       |
|    action_std_24                  | 0.0505       |
|    approx_kl                      | 0.0021689285 |
|    clip_fraction                  | 0.11         |
