time/time_elapsed,rollout/ep_len_mean,train/action_std_19,time/iterations,train/action_std_16,train/action_std_22,rollout/episodes_right,train/action_std_00,train/action_std_07,rollout/action_saturation_fraction,time/total_timesteps,rollout/episodes_up,rollout/episodes_left,rollout/episodes_fwd,train/action_std_08,rollout/recovery_back,train/action_std_01,train/action_std_10,train/action_std_15,train/action_std_13,train/action_std_23,train/action_std_02,rollout/force_onset_mean,train/action_std_14,train/std_max,train/action_std_21,rollout/force_requested_impulse_mean,rollout/recovery_up,time/fps,train/action_std_04,rollout/force_direction_mean,rollout/recovery_left,train/action_std_17,rollout/recovery_fwd,train/std_min,train/action_std_24,train/action_std_09,rollout/is_timeout_mean,train/action_std_03,train/action_std_06,train/action_std_12,rollout/episodes_back,rollout/recovery_right,train/action_std_18,train/action_std_05,train/action_std_11,rollout/ep_rew_mean,train/action_std_20,rollout/is_fall_mean,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,rollout/recovery_down,train/clip_range,train/approx_kl,rollout/timeout_without_onset_fraction,rollout/episodes_down,train/clip_range_vf,train/value_loss,train/std,rollout/episodes_noforce,train/explained_variance,train/n_updates,rollout/timeouts,rollout/recovery_noforce
22,295.45454545454544,0.05000000074505806,1,0.05000000074505806,0.05000000074505806,5,0.05000000074505806,0.05000000074505806,0.0,131072,1,3,5,0.05000000074505806,0.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,1.3932727272727286,0.05000000074505806,0.05000000074505806,0.05000000074505806,1.733974167013126,0.0,5889,0.05000000074505806,1.5,0.0,0.05000000074505806,0.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,8,0.0,0.05000000074505806,0.05000000074505806,0.05000000074505806,197.26512145996094,0.05000000074505806,1.0,,,,,,,,,,,,,,,,,,
48,1000.0,0.05008983239531517,2,0.05007173493504524,0.050078559666872025,31,0.05012737214565277,0.05013872683048248,0.0,262144,37,28,32,0.0500982403755188,0.8536585365853658,0.05010771378874779,0.05007900297641754,0.05012127384543419,0.05010811984539032,0.05011862516403198,0.05011746287345886,1.4051744680851075,0.05008349195122719,0.050154998898506165,0.05008154362440109,1.059749861815282,1.0,5403,0.05007798969745636,1.7957446808510638,0.9642857142857143,0.0501166395843029,0.96875,0.050026532262563705,0.050112172961235046,0.050154998898506165,0.9404255319148936,0.05005805194377899,0.05015252158045769,0.05004633218050003,41,0.8064516129032258,0.05010950565338135,0.05007997900247574,0.050026532262563705,729.4862670898438,0.050081174820661545,0.059574468085106386,1e-05,3.8363046646118164,39.392829278111456,-0.002339867297450837,0.12112197875976563,1.0,0.1,0.0024093427,0.0,25,0.2,2.949630729947239,0.0500975027680397,41,-0.16326534748077393,10,221,1.0
74,882.58,0.05018816515803337,3,0.05017031729221344,0.05013205483555794,7,0.050223562866449356,0.050179410725831985,0.0,393216,3,8,4,0.05021042749285698,0.4,0.05016757547855377,0.050173163414001465,0.050152771174907684,0.05021997168660164,0.050252728164196014,0.0501713827252388,1.3635000000000008,0.050166670233011246,0.05026823282241821,0.05019255727529526,1.3489889726277307,1.0,5303,0.0501524843275547,1.875,0.625,0.0502343513071537,0.5,0.050127074122428894,0.05021767318248749,0.05024169757962227,0.575,0.05018329992890358,0.05026823282241821,0.05015247315168381,10,0.2857142857142857,0.05017465725541115,0.05015135183930397,0.050139594823122025,643.3241577148438,0.050127074122428894,0.425,1e-05,1.616934061050415,39.34591216742992,-0.0017883618940686575,0.10863189697265625,1.0,0.1,0.0022012761,0.0,4,0.2,1.2670140784233808,0.05018574744462967,4,-1.175065040588379,20,23,0.75
100,1000.0,0.0503019355237484,4,0.05026344209909439,0.05027046054601669,28,0.05026337876915932,0.05027874559164047,0.0,524288,20,22,37,0.05028241127729416,0.8518518518518519,0.05028634890913963,0.050216201692819595,0.05020063742995262,0.05029943957924843,0.05031251534819603,0.05027182772755623,1.3925818181818193,0.050179287791252136,0.05042664334177971,0.05028235539793968,1.0611116980377,1.0,5210,0.05026949197053909,1.8772727272727272,1.0,0.05031700059771538,0.8918918918918919,0.050179287791252136,0.05035606399178505,0.05033589527010918,0.9272727272727272,0.050309404730796814,0.05042664334177971,0.05027775093913078,27,0.8214285714285714,0.05030139535665512,0.05023881793022156,0.050289809703826904,728.8563842773438,0.05019766837358475,0.07272727272727272,1e-05,1.6008433103561401,39.299981471896174,-0.001576975567422778,0.10408248901367187,0.9545454545454546,0.1,0.002111934,0.0,44,0.2,1.2503836755640805,0.05028115585446358,42,-1.7782049179077148,30,204,0.9761904761904762
126,899.78,0.05041059851646423,5,0.05036843195557594,0.050357669591903687,6,0.05035213753581047,0.05037524178624153,0.0,655360,6,9,10,0.05038700997829437,0.5555555555555556,0.05037166178226471,0.05032026022672653,0.050243958830833435,0.05041688308119774,0.05040496215224266,0.05029431730508804,1.3579622641509443,0.05020177364349365,0.050526317209005356,0.05033060535788536,0.998631201871978,0.8333333333333334,5180,0.05028855428099632,1.3962264150943395,0.8888888888888888,0.05040891468524933,0.6,0.05020177364349365,0.050526317209005356,0.05040932446718216,0.6792452830188679,0.050435617566108704,0.05049674212932587,0.05038226768374443,9,0.0,0.05042813718318939,0.050290804356336594,0.05034664273262024,655.4375610351562,0.05028459429740906,0.32075471698113206,1e-05,1.6262056827545166,39.25588330030441,-0.0020860669837020397,0.11122055053710937,1.0,0.1,0.0022438355,0.0,3,0.2,1.2951572737656534,0.05036533623933792,10,-1.0749835968017578,40,36,0.9
153,981.72,0.050517402589321136,6,0.05052642524242401,0.050490815192461014,24,0.050503503531217575,0.05048669874668121,0.0,786432,26,26,39,0.05053934082388878,0.8666666666666667,0.05048659071326256,0.05037996172904968,0.050414372235536575,0.050494235008955,0.050496526062488556,0.05035503953695297,1.3842830188679254,0.050286322832107544,0.05062311887741089,0.0504356287419796,0.9977590562345758,1.0,5136,0.050411343574523926,1.6084905660377358,0.8461538461538461,0.050453562289476395,0.9230769230769231,0.050286322832107544,0.05057425796985626,0.050572365522384644,0.9198113207547169,0.0506012998521328,0.05062311887741089,0.05055905878543854,30,0.875,0.05055851489305496,0.05036384239792824,0.05042816326022148,722.5726318359375,0.05037679150700569,0.08018867924528301,1e-05,1.6620163917541504,39.206310990452764,-0.0019892840586180683,0.10572738647460937,1.0,0.1,0.0022090436,0.0,25,0.2,1.2527584572322668,0.05047740414738655,42,-1.1133122444152832,50,195,0.9285714285714286
179,888.25,0.05060423165559769,7,0.05065517500042915,0.05061900243163109,7,0.050651103258132935,0.05059109628200531,0.0,917504,7,9,11,0.05066857114434242,0.4166666666666667,0.05057915672659874,0.05045049265027046,0.05057329311966896,0.05056801810860634,0.050611693412065506,0.05041508376598358,1.352593750000001,0.050383348017930984,0.05078566446900368,0.05054512247443199,1.132570343760436,1.0,5121,0.050524353981018066,1.703125,1.0,0.050527531653642654,0.7272727272727273,0.050383348017930984,0.05064099654555321,0.05070594698190689,0.75,0.05075228214263916,0.05078566446900368,0.050648968666791916,12,0.42857142857142855,0.05066882073879242,0.05048154667019844,0.05055633559823036,645.6939086914062,0.05051321163773537,0.25,1e-05,1.563573956489563,39.15092269480228,-0.0018312747655727436,0.1053680419921875,0.875,0.1,0.0021268248,0.0,8,0.2,1.1587077211588621,0.050588835030794144,10,-0.8127633333206177,60,48,0.9
205,990.47,0.05069747194647789,8,0.05073371157050133,0.05070817098021507,23,0.05071054399013519,0.050636205822229385,0.0,1048576,30,33,24,0.05074528604745865,0.9705882352941176,0.05065988376736641,0.050557807087898254,0.05066730082035065,0.05060548707842827,0.050753239542245865,0.05049093812704086,1.3972636815920407,0.05047788843512535,0.05092521011829376,0.05065135657787323,0.9963390058186249,1.0,5093,0.050612788647413254,1.8109452736318408,0.9393939393939394,0.05064971372485161,0.875,0.05047788843512535,0.05068890377879143,0.05077412724494934,0.9402985074626866,0.05086361989378929,0.05092521011829376,0.050730492919683456,34,0.8260869565217391,0.050754014402627945,0.05053607374429703,0.050666116178035736,721.7931518554688,0.050603169947862625,0.05970149253731343,1e-05,1.5561491250991821,39.1027074187994,-0.001830219597377436,0.10719757080078125,0.9545454545454546,0.1,0.0021500993,0.0,22,0.2,1.13892518915236,0.05067598074674606,35,-0.9382617473602295,70,189,0.9714285714285714
232,902.62,0.050818052142858505,9,0.0508088693022728,0.05079846829175949,22,0.05081239715218544,0.050689879804849625,0.0,1179648,7,5,14,0.05080398917198181,0.6666666666666666,0.050765544176101685,0.050656743347644806,0.050722744315862656,0.05075199156999588,0.05082396790385246,0.05062083899974823,1.407943661971832,0.05057070404291153,0.051057372242212296,0.050744928419589996,1.172414441258628,1.0,5081,0.05066070333123207,1.8169014084507042,0.6,0.050773970782756805,0.7142857142857143,0.05057070404291153,0.05078534036874771,0.05085068196058273,0.7887323943661971,0.05095101520419121,0.051057372242212296,0.05076000466942787,9,0.7272727272727273,0.05081641674041748,0.05058048292994499,0.05069822072982788,657.2848510742188,0.05068347603082657,0.2112676056338028,1e-05,1.471745491027832,39.06040710806847,-0.002031453948438866,0.11120681762695313,1.0,0.1,0.0022384396,0.0,5,0.2,1.06792440158315,0.05076027289032936,9,-0.8391069173812866,80,56,1.0
258,1000.0,0.05091571807861328,10,0.05089174583554268,0.05089287459850311,25,0.05089271813631058,0.0507487989962101,0.0,1310720,26,24,35,0.05092953145503998,0.8275862068965517,0.05082887411117554,0.050754182040691376,0.050774767994880676,0.050822075456380844,0.05088980495929718,0.05078542232513428,1.3839685863874354,0.050627920776605606,0.051116637885570526,0.05083298310637474,1.1347032921657167,1.0,5062,0.05076277628540993,1.8219895287958114,0.9166666666666666,0.050816308706998825,0.9714285714285714,0.050627920776605606,0.05089303478598595,0.05095433071255684,0.9267015706806283,0.05108559504151344,0.051116637885570526,0.05087989196181297,29,0.76,0.05090755969285965,0.05068333446979523,0.050755903124809265,724.62939453125,0.05075327679514885,0.07329842931937172,1e-05,1.4359712600708008,39.018107363581656,-0.001961055144420243,0.1061279296875,1.0,0.1,0.0021224092,0.0,24,0.2,1.0567363631911575,0.05084783956408501,28,-0.9461205005645752,90,177,1.0
