time/total_timesteps,train/action_std_24,train/action_std_10,train/action_std_17,rollout/force_onset_mean,time/time_elapsed,rollout/recovery_fwd,rollout/is_fall_mean,train/action_std_01,train/action_std_16,train/action_std_02,train/action_std_05,time/fps,rollout/episodes_fwd,rollout/episodes_down,rollout/ep_rew_mean,train/action_std_21,rollout/recovery_up,train/action_std_15,rollout/force_requested_impulse_mean,train/action_std_20,rollout/recovery_right,train/action_std_00,train/action_std_22,train/action_std_18,train/std_min,rollout/ep_len_mean,rollout/is_timeout_mean,rollout/episodes_left,train/action_std_19,train/action_std_03,time/iterations,rollout/recovery_back,train/action_std_09,rollout/recovery_left,train/action_std_12,rollout/episodes_noforce,rollout/episodes_back,rollout/episodes_right,train/action_std_13,train/action_std_14,train/action_std_08,train/action_std_23,rollout/recovery_noforce,rollout/episodes_up,train/action_std_04,train/action_std_07,train/action_std_11,train/std_max,train/action_std_06,rollout/recovery_down,rollout/action_saturation_fraction,rollout/force_direction_mean,rollout/timeouts,train/explained_variance,rollout/timeout_without_onset_fraction,train/loss,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range_vf,train/std,train/learning_rate,train/clip_range,train/entropy_loss,train/n_updates,train/policy_gradient_loss
131072,0.07134207338094711,0.06966498494148254,0.0718613788485527,1.391777777777779,22,0.0,1.0,0.07129916548728943,0.07091144472360611,0.07076199352741241,0.07033946365118027,5804,43,9,218.08253479003906,0.06983865052461624,0.0,0.07044991850852966,3.049290657671875,0.06985167413949966,0.0,0.0700322836637497,0.07018375396728516,0.06980252265930176,0.06859532743692398,330.15,0.0,32,0.07174679636955261,0.07104150950908661,1,0.0,0.0709521472454071,0.0,0.07142754644155502,1,36,36,0.06859532743692398,0.06984469294548035,0.07075809687376022,0.07127172499895096,0.0,23,0.06933474540710449,0.07080021500587463,0.07110799849033356,0.0718613788485527,0.07119496166706085,0.0,0.0,1.9111111111111112,,,,,,,,,,,,,,
262144,0.07145612686872482,0.06978967785835266,0.07195546478033066,1.4150922509225103,48,0.06779661016949153,0.8634686346863468,0.07143716514110565,0.07102581113576889,0.07083649933338165,0.07050560414791107,5388,59,17,438.9769592285156,0.06995483487844467,0.09302325581395349,0.07061297446489334,3.007036451780245,0.07000702619552612,0.07142857142857142,0.07011669129133224,0.07033047080039978,0.06989666819572449,0.06870541721582413,647.65,0.13653136531365315,38,0.0718921571969986,0.07109249383211136,2,0.12698412698412698,0.071133553981781,0.2631578947368421,0.0715850219130516,9,63,42,0.06870541721582413,0.06998007744550705,0.0708407387137413,0.07140889763832092,0.6666666666666666,43,0.06948720663785934,0.07093887031078339,0.07127544283866882,0.07195546478033066,0.07137681543827057,0.11764705882352941,0.0,1.8929889298892988,37,0.8009332418441772,0.0,1.1032689809799194,0.11034774780273438,0.0021881913,0.747310295375064,0.2,0.07070566713809967,1e-05,0.1,30.779164059460165,1700,-0.0028102802942157725
393216,0.07161223143339157,0.06991609930992126,0.07197482138872147,1.3950292887029299,74,0.06818181818181818,0.8702928870292888,0.07156083732843399,0.07114476710557938,0.07096832245588303,0.07063774764537811,5257,44,18,339.2477722167969,0.07005796581506729,0.06896551724137931,0.07084712386131287,2.8654525820361005,0.07016896456480026,0.057692307692307696,0.07029791921377182,0.07045736163854599,0.07009211927652359,0.06895183026790619,504.18,0.1297071129707113,34,0.07198693603277206,0.07131654769182205,3,0.12727272727272726,0.07128365337848663,0.11764705882352941,0.071844682097435,7,55,52,0.06895183026790619,0.07005396485328674,0.07092943787574768,0.07152125239372253,1.0,29,0.06962491571903229,0.07107486575841904,0.07157640159130096,0.07198693603277206,0.07158833742141724,0.2777777777777778,0.0,2.0,31,0.820334255695343,0.0,0.9655752182006836,0.10934600830078126,0.0022559536,0.7540613090153784,0.2,0.07085956633090973,1e-05,0.1,30.728884440660476,1710,-0.002925846417019784
524288,0.07167567312717438,0.07001036405563354,0.07205472886562347,1.4051155378486067,101,0.12962962962962962,0.8446215139442231,0.07165651768445969,0.07132776826620102,0.07109438627958298,0.07071689516305923,5182,54,22,338.78192138671875,0.07024963200092316,0.1590909090909091,0.0709923729300499,2.8936167806683164,0.0703793540596962,0.057692307692307696,0.07050684094429016,0.0706186518073082,0.07034774869680405,0.06906396895647049,499.91,0.1553784860557769,25,0.07207739353179932,0.071526899933815,4,0.06976744186046512,0.07147403061389923,0.16,0.0719664990901947,11,43,52,0.06906396895647049,0.07013571262359619,0.0711638554930687,0.07168181240558624,0.9090909090909091,44,0.06973733752965927,0.071195587515831,0.07173824310302734,0.07207739353179932,0.07168266177177429,0.22727272727272727,0.0,2.087649402390438,39,0.8012160658836365,0.0,1.037550687789917,0.11178741455078126,0.0022454083,0.721559991221875,0.2,0.07100299745798111,1e-05,0.1,30.67663934379816,1720,-0.003193138702772558
655360,0.07188685983419418,0.07007387280464172,0.07218486070632935,1.3962462686567176,127,0.06896551724137931,0.832089552238806,0.07179385423660278,0.07144258916378021,0.07127562910318375,0.07090152055025101,5126,58,23,334.18487548828125,0.07043201476335526,0.13043478260869565,0.07116325944662094,2.8091130727598994,0.07051201909780502,0.12,0.07065076380968094,0.07077457755804062,0.07047206908464432,0.0692141056060791,504.19,0.16791044776119404,37,0.07214521616697311,0.07164707034826279,5,0.12195121951219512,0.07163149118423462,0.21621621621621623,0.07209064066410065,13,41,50,0.0692141056060791,0.07037393003702164,0.07130105793476105,0.07181169092655182,0.8461538461538461,46,0.0699029341340065,0.0714026466012001,0.07185599952936172,0.07218486070632935,0.07175707817077637,0.21739130434782608,0.0,2.0559701492537314,45,0.8021731972694397,0.0,0.9308478236198425,0.10579681396484375,0.0021998545,0.740559677220881,0.2,0.07114791125059128,1e-05,0.1,30.62571510374546,1730,-0.0027254246704615072
786432,0.07206496596336365,0.07032130658626556,0.07231532782316208,1.3989955555555567,154,0.08064516129032258,0.8666666666666667,0.07197176665067673,0.07150038331747055,0.07135678827762604,0.07113784551620483,5089,62,16,320.44744873046875,0.0705229640007019,0.1724137931034483,0.07128521800041199,2.9461907388460076,0.07069724053144455,0.07894736842105263,0.07079694420099258,0.07097227871417999,0.07066159695386887,0.06928975880146027,484.31,0.13333333333333333,28,0.07226990908384323,0.07179287821054459,6,0.12195121951219512,0.0717708170413971,0.03571428571428571,0.07233750075101852,11,41,38,0.06928975880146027,0.07058032602071762,0.07146740704774857,0.07189148664474487,1.0,29,0.07006480544805527,0.0715312585234642,0.07200047373771667,0.07233750075101852,0.07198084145784378,0.0,0.0,1.76,30,0.8149915337562561,0.0,1.149775743484497,0.10853271484375,0.0022506672,0.760405438626185,0.2,0.07130327820777893,1e-05,0.1,30.57246878892183,1740,-0.0029206662687101927
917504,0.07221806794404984,0.07041162997484207,0.07255855947732925,1.4097004048583006,181,0.14285714285714285,0.8137651821862348,0.07203870266675949,0.07162763178348541,0.07145725190639496,0.07131057977676392,5062,49,16,370.64483642578125,0.07062160968780518,0.17073170731707318,0.07150377333164215,2.9117135801886933,0.07082302123308182,0.06818181818181818,0.07096507400274277,0.07109205424785614,0.07075629383325577,0.06936127692461014,559.52,0.1862348178137652,38,0.07242512702941895,0.07187441736459732,7,0.06,0.07187506556510925,0.2894736842105263,0.0724627673625946,9,50,44,0.06936127692461014,0.07064329087734222,0.07162211835384369,0.07194869220256805,1.0,41,0.07018181681632996,0.07163620740175247,0.07221835851669312,0.07255855947732925,0.0721515491604805,0.375,0.0,1.9959514170040487,46,0.7944996953010559,0.0,0.9890047311782837,0.1079071044921875,0.002236384,0.7224207540974021,0.2,0.07143139839172363,1e-05,0.1,30.523472371697427,1750,-0.0029553798209235537
1048576,0.07236520200967789,0.07048118114471436,0.07268143445253372,1.4130756972111564,208,0.057692307692307696,0.8167330677290837,0.07210728526115417,0.07170478254556656,0.07162308692932129,0.07148773968219757,5040,52,26,372.5577392578125,0.07077903300523758,0.15,0.0716385468840599,2.876583533517377,0.07096929103136063,0.1956521739130435,0.07115825265645981,0.07123878598213196,0.0709574818611145,0.06959310173988342,549.7,0.18326693227091634,26,0.07256408035755157,0.07206079363822937,8,0.14583333333333334,0.07197845727205276,0.07692307692307693,0.0727333053946495,13,48,46,0.06959310173988342,0.07083436846733093,0.07177671045064926,0.07204023003578186,1.0,40,0.07030992209911346,0.07179117202758789,0.07242892682552338,0.0727333053946495,0.07232418656349182,0.23076923076923078,0.0,2.051792828685259,46,0.8116519451141357,0.0,0.9596764445304871,0.10260009765625,0.0021244844,0.7240747716277838,0.2,0.07158509641885757,1e-05,0.1,30.47373472750187,1760,-0.0028218227737852432
1179648,0.0725448951125145,0.07066775113344193,0.07288842648267746,1.40702953586498,234,0.11627906976744186,0.8312236286919831,0.07223588228225708,0.07188799232244492,0.0717046782374382,0.07159801572561264,5023,43,22,395.013671875,0.07090858370065689,0.08823529411764706,0.07188358157873154,2.8808197106372924,0.07112652063369751,0.06666666666666667,0.07135743647813797,0.07132038474082947,0.07115048170089722,0.06974463164806366,586.03,0.16877637130801687,29,0.07267601042985916,0.07214689999818802,9,0.14035087719298245,0.07213721424341202,0.27586206896551724,0.0728883221745491,7,57,45,0.06974463164806366,0.0709916278719902,0.07198240607976913,0.07222376018762589,0.8571428571428571,34,0.0704626515507698,0.07184938341379166,0.07258152216672897,0.07288842648267746,0.07246166467666626,0.3181818181818182,0.0,2.0632911392405062,40,0.7953531742095947,0.0,0.8731720447540283,0.107928466796875,0.0022716543,0.7316060351207853,0.2,0.07173682749271393,1e-05,0.1,30.42050206512213,1770,-0.0029686488362131057
1310720,0.07267661392688751,0.07080848515033722,0.0731172189116478,1.412107142857144,261,0.12280701754385964,0.8169642857142857,0.07244129478931427,0.07207566499710083,0.07178468257188797,0.07168330997228622,5012,57,16,372.36944580078125,0.07103544473648071,0.07894736842105263,0.07199074327945709,2.857635851154462,0.07117123156785965,0.13513513513513514,0.07144232839345932,0.07142001390457153,0.07124961912631989,0.06993655860424042,554.59,0.18303571428571427,27,0.07283993810415268,0.07242138683795929,10,0.1891891891891892,0.07227304577827454,0.14814814814814814,0.07312048971652985,12,37,37,0.06993655860424042,0.07115808874368668,0.07210246473550797,0.07235350459814072,0.9166666666666666,38,0.07060316205024719,0.07200279831886292,0.0727468878030777,0.07312048971652985,0.07263185828924179,0.25,0.0,1.8839285714285714,41,0.8162876963615417,0.0,0.9808738231658936,0.10597763061523438,0.002203403,0.6868467323947698,0.2,0.07188347727060318,1e-05,0.1,30.368720868229865,1780,-0.0029729824451351305
