time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/learning_rate,train/clip_range_vf,train/approx_kl,train/clip_range,train/std,train/n_updates,train/loss,train/entropy_loss
9863,3.6637356281280518,1,131072,101.74,13,,,,,,,,,,,,
8910,3.764202356338501,2,262144,107.62,29,0.00973566949396627,-0.10573220252990723,2.374276385270059,0.4772453308105469,0.0003,0.2,0.011570029,0.1,1.0198302268981934,10,1.1239053010940552,-34.491498559713364
8561,3.4677953720092773,3,393216,100.03,45,0.004220486741360219,0.1996673345565796,0.7149839451536536,0.3374610900878906,0.0003,0.2,0.0062519596,0.1,1.0332266092300415,20,-1.0330407619476318,-34.82167032957077
8405,3.9824609756469727,4,524288,112.93,62,0.003868502732439083,0.3953518867492676,0.63837416972965,0.33049697875976564,0.0003,0.2,0.0060107256,0.1,1.0462473630905151,30,-1.1389068365097046,-35.13159357309341
8391,4.044317722320557,5,655360,111.68,78,0.0037517865095651358,0.45325422286987305,0.6529819045681506,0.33713226318359374,0.0003,0.2,0.006195887,0.1,1.0596086978912354,40,-1.1529479026794434,-35.43507606983185
8372,4.573766708374023,6,786432,125.03,93,0.0033755630845007543,0.4707394242286682,0.665337323769927,0.3427146911621094,0.0003,0.2,0.0062913136,0.1,1.073440432548523,50,-1.1368303298950195,-35.7377793610096
8327,3.400358200073242,7,917504,97.63,110,0.0035096230148155883,0.47856050729751587,0.7040687465574592,0.35368804931640624,0.0003,0.2,0.0066841813,0.1,1.0877892971038818,60,-1.1127235889434814,-36.05713632106781
8271,3.835136651992798,8,1048576,108.11,126,0.003561147831715061,0.5022611618041992,0.6997957961633802,0.36074676513671877,0.0003,0.2,0.006941771,0.1,1.1023662090301514,70,-1.1398769617080688,-36.38144990801811
8243,3.5041327476501465,9,1179648,98.96,143,0.003195887489710003,0.5138959884643555,0.7011600721627473,0.36416091918945315,0.0003,0.2,0.007197737,0.1,1.1171046495437622,80,-1.1289509534835815,-36.699464440345764
8249,3.9186789989471436,10,1310720,109.07,158,0.003223588077344175,0.5221861004829407,0.6946554963476956,0.3670494079589844,0.0003,0.2,0.0072424663,0.1,1.1320319175720215,90,-1.183645248413086,-37.015036112070085
8244,3.519019842147827,11,1441792,96.78,174,0.003022037602659111,0.5141957998275757,0.717141417041421,0.3787384033203125,0.0003,0.2,0.007666922,0.1,1.1479129791259766,100,-1.1590478420257568,-37.34344694316387
8258,4.217189788818359,12,1572864,113.39,190,0.0025286896763645926,0.5261437296867371,0.7187386584933847,0.3764350891113281,0.0003,0.2,0.007697585,0.1,1.1630704402923584,110,-1.2073240280151367,-37.66966674029827
8285,4.408907890319824,13,1703936,120.27,205,0.002614060704945587,0.5357862710952759,0.7088150672148913,0.37863006591796877,0.0003,0.2,0.007828483,0.1,1.1785023212432861,120,-1.2099844217300415,-37.98167789578438
8272,3.6905689239501953,14,1835008,100.55,221,0.002722256320885208,0.5267817378044128,0.7124263273086399,0.3901634216308594,0.0003,0.2,0.008232692,0.1,1.1949905157089233,130,-1.2549560070037842,-38.311747720837594
8272,4.319019317626953,15,1966080,115.98,237,0.0022530737458509977,0.5409817099571228,0.7048261674586683,0.39483795166015623,0.0003,0.2,0.008565187,0.1,1.2116014957427979,140,-1.2593092918395996,-38.64319246709347
8281,4.085987567901611,16,2097152,108.9,253,0.00181431046439684,0.5471054315567017,0.7043503419496119,0.39800262451171875,0.0003,0.2,0.008574501,0.1,1.2283880710601807,150,-1.2451350688934326,-38.97356225550175
8291,4.473176956176758,17,2228224,118.34,268,0.001833514818281401,0.5592812299728394,0.7002707248087973,0.3947486877441406,0.0003,0.2,0.008568808,0.1,1.2451109886169434,160,-1.3136484622955322,-39.293931344151495
8303,3.9995429515838623,18,2359296,103.64,284,0.0018018466837020242,0.5568076372146606,0.7066094420384615,0.40577239990234376,0.0003,0.2,0.009071231,0.1,1.2630255222320557,170,-1.2874751091003418,-39.63277222216129
8298,4.454617977142334,19,2490368,115.09,300,0.0018329945061850595,0.5946146845817566,0.6792928700800985,0.40915985107421876,0.0003,0.2,0.008986441,0.1,1.2812542915344238,180,-1.3052512407302856,-39.978279769420624
8305,4.422501564025879,20,2621440,112.01,315,0.0017680157730865175,0.5887566804885864,0.6739441461861133,0.4136833190917969,0.0003,0.2,0.009491282,0.1,1.299796462059021,190,-1.3458667993545532,-40.32268023490906
8312,5.12564754486084,21,2752512,128.2,331,0.0012069395856087795,0.5923153162002563,0.6681074066087603,0.40848846435546876,0.0003,0.2,0.009100262,0.1,1.3180469274520874,200,-1.4297449588775635,-40.65756389200688
8327,4.95888614654541,22,2883584,125.24,346,0.0011348527431437106,0.6063465476036072,0.6729442164767534,0.4088554382324219,0.0003,0.2,0.009162569,0.1,1.3362077474594116,210,-1.397081732749939,-40.992575767636296
8339,4.724482536315918,23,3014656,120.48,361,0.0011074763554461242,0.6261317133903503,0.6504926423542201,0.4186058044433594,0.0003,0.2,0.009458885,0.1,1.3553497791290283,220,-1.4439500570297241,-41.32888722419739
8350,5.195094585418701,24,3145728,129.43,376,0.0010169524630327942,0.6246387958526611,0.6699335296172648,0.41663818359375,0.0003,0.2,0.009605313,0.1,1.3749346733093262,230,-1.441916584968567,-41.6713531255722
8360,5.306127548217773,25,3276800,128.19,391,0.001105743461084785,0.6441230773925781,0.6620694978162647,0.42360458374023435,0.0003,0.2,0.009840313,0.1,1.3956305980682373,240,-1.4337162971496582,-42.024510151147844
8373,5.78287410736084,26,3407872,140.9,406,0.0009209862693751348,0.6326100826263428,0.6729312340263277,0.41952972412109374,0.0003,0.2,0.009903278,0.1,1.4165832996368408,250,-1.4585163593292236,-42.37450513243675
