time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/clip_range,train/clip_fraction,train/clip_range_vf,train/explained_variance,train/std,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates
14896,1,8,354.07142857142856,131072,14.123674392700195,,,,,,,,,,,,
12308,2,21,959.88,262144,39.807289123535156,1e-07,0.1,0.0,0.2,0.8579270243644714,0.17409281432628632,7.904663693532347,0.7728918194770813,-0.00018960625211548177,2.1926919e-05,0.39286178797483445,1540
11890,3,33,582.82,393216,25.482397079467773,1e-07,0.1,0.0,0.2,0.7439221739768982,0.17411455512046814,7.901614029705525,1.4729413986206055,-0.00013821998600178632,1.623764e-05,0.9531383874826134,1550
11627,4,45,776.93,524288,33.676292419433594,1e-07,0.1,0.0,0.2,0.8403978943824768,0.17413704097270966,7.8985203567892315,0.890477180480957,-0.00015750168922750162,1.3904793e-05,0.5659288741182535,1560
11518,5,56,700.13,655360,30.01498031616211,1e-07,0.1,0.0,0.2,0.85945725440979,0.17415885627269745,7.895483376085759,1.1354503631591797,-0.00018322774021726219,1.8328294e-05,0.7903980517759919,1570
11424,6,68,731.72,786432,32.027259826660156,1e-07,0.1,0.0,0.2,0.8530375957489014,0.17418178915977478,7.8923917200416325,1.0404268503189087,-0.00016085969991763704,1.4230878e-05,0.607880512997508,1580
11351,7,80,686.51,917504,29.414501190185547,1e-07,0.1,0.0,0.2,0.8331736326217651,0.1742037981748581,7.889307479932905,1.1694886684417725,-0.00017160113848149194,1.5611602e-05,0.792389117507264,1590
11298,8,92,727.93,1048576,30.63222885131836,1e-07,0.1,0.0,0.2,0.8513855338096619,0.17422530055046082,7.886303931474686,1.1127140522003174,-0.00015995100925465523,1.4705771e-05,0.6732066565658897,1600
11270,9,104,744.16,1179648,32.27666091918945,1e-07,0.1,0.0,0.2,0.8488909006118774,0.1742473840713501,7.883299946784973,1.0469930171966553,-0.00016666728051859537,1.5799433e-05,0.7281243674224243,1610
11256,10,116,690.02,1310720,29.241708755493164,1e-07,0.1,0.0,0.2,0.8467350006103516,0.17426910996437073,7.880289920791983,1.2335586547851562,-0.00016471918397655826,1.5055235e-05,0.7169022429268808,1620
11239,11,128,706.15,1441792,29.824817657470703,1e-07,0.1,0.0,0.2,0.8820702433586121,0.1742907464504242,7.877308205142617,0.9690882563591003,-0.00016314715157932368,1.6780326e-05,0.593877335707657,1630
11234,12,140,692.23,1572864,29.543922424316406,1e-07,0.1,0.0,0.2,0.8474312424659729,0.17431339621543884,7.874250871688128,1.2041388750076294,-0.0001654734162002569,1.49840635e-05,0.7288613955490291,1640
11219,13,151,742.68,1703936,32.150634765625,1e-07,0.1,0.0,0.2,0.8506651520729065,0.1743350327014923,7.871210775151849,1.2482751607894897,-0.00017202246708620806,1.7928018e-05,0.6889917438384145,1650
11217,14,163,784.95,1835008,33.69593811035156,1e-07,0.1,0.0,0.2,0.8372635841369629,0.1743573397397995,7.868181255832314,1.0953688621520996,-0.00014088595307839568,1.25769875e-05,0.7069008131511509,1660
11216,15,175,703.9,1966080,30.287519454956055,1e-07,0.1,0.0,0.2,0.8307169079780579,0.17437851428985596,7.865187102556229,1.0350145101547241,-0.00014840319799986902,1.3649855e-05,0.7129889237228781,1670
11210,16,187,756.11,2097152,32.70311737060547,1e-07,0.1,0.0,0.2,0.8490173816680908,0.17440131306648254,7.862160502746701,1.039086103439331,-0.00015719482944405173,1.5699337e-05,0.7250771859195083,1680
11199,17,198,717.87,2228224,31.069063186645508,1e-07,0.1,0.0,0.2,0.8396814465522766,0.1744237244129181,7.859056159108877,1.032029628753662,-0.00015231352272166988,1.2398006e-05,0.6988093661610038,1690
11184,18,210,744.36,2359296,31.895967483520508,1e-07,0.1,0.0,0.2,0.8347463011741638,0.17444607615470886,7.85598016306758,1.2284138202667236,-0.00017831474278864334,1.6985534e-05,0.7433391024358571,1700
11175,19,222,679.01,2490368,29.531448364257812,1e-07,0.1,0.0,0.2,0.8510735034942627,0.17446815967559814,7.852921484410762,1.0361530780792236,-0.00016286202953779138,1.5509766e-05,0.7005564536899328,1710
11162,20,234,731.0,2621440,31.713092803955078,1e-07,0.1,0.0,0.2,0.848759114742279,0.17448994517326355,7.849917522072792,1.0961107015609741,-0.00018542671432442148,1.8796809e-05,0.6748340821824967,1720
11149,21,246,722.08,2752512,31.1274471282959,1e-07,0.1,0.0,0.2,0.8477362394332886,0.17451100051403046,7.846962592378259,1.1717524528503418,-0.00015848362545511918,1.4109225e-05,0.6936733986949548,1730
11143,22,258,763.91,2883584,33.33727264404297,1e-07,0.1,0.0,0.2,0.8406714200973511,0.17453353106975555,7.8439597267657515,1.0045876502990723,-0.00014706779957123216,1.3679929e-05,0.6961399886989966,1740
11134,23,270,774.51,3014656,34.14480972290039,1e-07,0.1,0.0,0.2,0.8079138994216919,0.17455503344535828,7.840937334671617,1.2339544296264648,-0.00017840702685134602,1.7178398e-05,0.7437994785606861,1750
11129,24,282,761.04,3145728,33.571685791015625,1e-07,0.1,0.0,0.2,0.7959845066070557,0.17457738518714905,7.837916054204106,1.0761704444885254,-0.00013904711204304476,1.1756656e-05,0.7771558470092714,1760
11125,25,294,804.98,3276800,35.8027229309082,1e-07,0.1,0.0,0.2,0.7982802391052246,0.17460080981254578,7.834767972305417,1.1816951036453247,-0.00014201768999555497,1.2988552e-05,0.7281100806081667,1770
11127,26,306,806.49,3407872,35.30837631225586,1e-07,0.1,0.0,0.2,0.7867565751075745,0.17462286353111267,7.8316549804061655,1.139803409576416,-0.0001446172868782014,1.5103052e-05,0.7741776722948999,1780
11127,27,318,762.13,3538944,33.33054733276367,1e-07,0.1,0.0,0.2,0.7969669103622437,0.17464439570903778,7.828657647222281,1.093445062637329,-0.00017536228442622815,1.7573198e-05,0.719692861288786,1790
11124,28,329,710.73,3670016,31.04755401611328,1e-07,0.1,0.0,0.2,0.8184418082237244,0.17466554045677185,7.825732938572765,1.1091187000274658,-0.00015328734434660873,1.6965918e-05,0.7818455626722425,1800
