time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/clip_range_vf,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/loss,train/value_loss,train/learning_rate,train/n_updates,train/clip_range,train/std,train/entropy_loss
1,414.13,14638,36.34775161743164,131072,8,,,,,,,,,,,,
2,555.15,12541,24.98815155029297,262144,20,0.2,0.0035354628,-0.001136277068144409,-0.052782654762268066,0.146893310546875,5.17643928527832,2.8095139996148646,1e-05,10,0.1,0.05020835995674133,37.837986037135124
3,447.32,11913,18.677947998046875,393216,33,0.2,0.0031471471,-0.0022034569048628326,-0.21700668334960938,0.1295623779296875,2.839531183242798,1.0170325302984566,1e-05,20,0.1,0.050601691007614136,37.639854311943054
4,540.16,11721,22.743818283081055,524288,44,0.2,0.0032531326,-0.0025259695300519523,-0.06212961673736572,0.13320236206054686,2.768545627593994,0.9324867983814329,1e-05,30,0.1,0.05101312696933746,37.44774430692196
5,539.0,11581,22.10675048828125,655360,56,0.2,0.0033038817,-0.002301565759626101,0.01660054922103882,0.13535842895507813,2.7447447776794434,0.8922540246974677,1e-05,40,0.1,0.05143039673566818,37.25226625204086
6,503.6,11504,20.711442947387695,786432,68,0.2,0.003237973,-0.0022405472342143184,0.23138636350631714,0.13101425170898437,2.608625888824463,0.7812324759084731,1e-05,50,0.1,0.05184456706047058,37.05875343978405
7,522.93,11447,21.953393936157227,917504,80,0.2,0.0031929906,-0.002216124947699427,0.3151169419288635,0.130072021484375,2.5460433959960938,0.7234449666459113,1e-05,60,0.1,0.05225742980837822,36.8679614007473
8,475.12,11375,20.199363708496094,1048576,92,0.2,0.0031396768,-0.002000057766690588,0.43262743949890137,0.1273529052734375,2.484952449798584,0.6738035319838673,1e-05,70,0.1,0.052683498710393906,36.67477258443832
9,498.3,11313,20.34201431274414,1179648,104,0.2,0.0030737228,-0.0017469377139605058,0.48981618881225586,0.12451324462890626,2.4343583583831787,0.6249999531544745,1e-05,80,0.1,0.05310596525669098,36.48164344727993
10,514.26,11272,21.17798614501953,1310720,116,0.2,0.0032477789,-0.0024134162409609416,0.5803616046905518,0.13212127685546876,2.3582072257995605,0.5672271717805415,1e-05,90,0.1,0.053540363907814026,36.287560978531836
11,535.9,11253,22.055707931518555,1441792,128,0.2,0.0031604227,-0.0022339830768942194,0.6486146450042725,0.1260833740234375,2.3301167488098145,0.5176551145734265,1e-05,100,0.1,0.05396788567304611,36.09530210793018
12,557.15,11243,22.303010940551758,1572864,139,0.2,0.003244463,-0.0026667089236980246,0.6433084011077881,0.13183822631835937,2.303614377975464,0.49434880376793444,1e-05,110,0.1,0.054412342607975006,35.9005485355854
13,522.71,11233,21.206886291503906,1703936,151,0.2,0.0031791753,-0.0024546653492507177,0.732258677482605,0.12912673950195314,2.2082560062408447,0.44779566263314335,1e-05,120,0.1,0.054845333099365234,35.70804522037506
14,536.27,11228,21.654634475708008,1835008,163,0.2,0.0031947643,-0.0023029126457913664,0.7475990653038025,0.1260101318359375,2.1754980087280273,0.42679589695762843,1e-05,130,0.1,0.055296510457992554,35.5137310475111
15,567.84,11225,23.37936782836914,1966080,175,0.2,0.0030207173,-0.002061245991535543,0.7780425548553467,0.120880126953125,2.1634328365325928,0.4137629200005904,1e-05,140,0.1,0.05573349818587303,35.32158868908882
16,541.69,11222,22.54766845703125,2097152,186,0.2,0.0031793169,-0.00231435537825746,0.7786322236061096,0.12753067016601563,2.212013006210327,0.41195687900763006,1e-05,150,0.1,0.056192319840192795,35.12800304889679
17,520.29,11213,21.630258560180664,2228224,198,0.2,0.003251968,-0.0022656402917164086,0.778598427772522,0.12883834838867186,2.1651527881622314,0.4301478147506714,1e-05,160,0.1,0.05665598437190056,34.93136791884899
18,524.76,11202,21.75070571899414,2359296,210,0.2,0.0032300625,-0.002240058953702828,0.791323721408844,0.12693405151367188,2.170069456100464,0.44748893966898323,1e-05,170,0.1,0.057121239602565765,34.734591296315195
19,527.89,11193,21.901996612548828,2490368,222,0.2,0.003091508,-0.0018700071525017848,0.8019806146621704,0.123223876953125,2.16074800491333,0.45248446098994466,1e-05,180,0.1,0.05757609009742737,34.542072880268094
20,492.81,11185,20.564409255981445,2621440,234,0.2,0.0031773723,-0.0020211628179822583,0.8256155252456665,0.12364349365234376,2.1383328437805176,0.4364235590212047,1e-05,190,0.1,0.05804857611656189,34.3484017342329
21,506.98,11178,21.020395278930664,2752512,246,0.2,0.003202464,-0.002090361360660609,0.823989748954773,0.12603836059570311,2.1049039363861084,0.45919401857536285,1e-05,200,0.1,0.058523207902908325,34.15225785970688
22,542.15,11167,22.162376403808594,2883584,258,0.2,0.0031429557,-0.0021338847473089118,0.8351292610168457,0.12534713745117188,2.171954393386841,0.47336361107882113,1e-05,210,0.1,0.05901161581277847,33.954504403471944
23,498.12,11156,20.701644897460938,3014656,270,0.2,0.0031116058,-0.002137134543772845,0.8470925092697144,0.12524261474609374,2.212700605392456,0.5102689588908106,1e-05,220,0.1,0.05949109047651291,33.75861187577247
