time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/loss,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range_vf,train/approx_kl,train/clip_fraction
14860,131072,384.17045454545456,8,35.729373931884766,1,,,,,,,,,,,,
12507,262144,560.14,20,26.010177612304688,2,5.488273620605469,37.837161004543304,0.1,10,1e-05,2.8501860491931437,-0.12555015087127686,-0.0010984065123011532,0.05021452158689499,0.2,0.003562449,0.1483123779296875
11968,393216,473.21,32,19.861780166625977,3,2.983828067779541,37.63543034791947,0.1,20,1e-05,1.1772852928377688,-1.2236194610595703,-0.0023168820120190504,0.05061818286776543,0.2,0.0032343464,0.13106765747070312
11746,524288,529.31,44,22.184595108032227,4,2.904338836669922,37.44093721210957,0.1,30,1e-05,1.0642906459514052,-0.5480760335922241,-0.0022505447472212837,0.051028572022914886,0.2,0.0032965718,0.13173980712890626
11602,655360,530.0,56,21.854799270629883,5,2.807741403579712,37.245880582928656,0.1,40,1e-05,0.9695340969599784,-0.21522390842437744,-0.0021382555130912808,0.05144544690847397,0.2,0.0032558765,0.13279190063476562
11478,786432,482.7,68,19.97527503967285,6,2.737462282180786,37.051462459564206,0.1,50,1e-05,0.8591011885553599,0.0641559362411499,-0.002183478194365307,0.05186275765299797,0.2,0.0032514567,0.13443145751953126
11392,917504,516.45,80,21.652257919311523,7,2.6308541297912598,36.85641389191151,0.1,60,1e-05,0.7927402277011424,0.23069709539413452,-0.0021984137969411678,0.05228815972805023,0.2,0.0032228443,0.12982559204101562
11305,1048576,460.23,92,19.191822052001953,8,2.5545663833618164,36.66201859116554,0.1,70,1e-05,0.7327211077325047,0.34727251529693604,-0.0022663621595711446,0.05270996689796448,0.2,0.0031973454,0.13152923583984374
11267,1179648,497.4,104,20.43490219116211,9,2.4871275424957275,36.46649399995804,0.1,80,1e-05,0.6809063801076263,0.40251725912094116,-0.002290092121620546,0.05314496159553528,0.2,0.0032172678,0.12722930908203126
11224,1310720,513.74,116,20.855487823486328,10,2.3827028274536133,36.27080642580986,0.1,90,1e-05,0.6024290567263961,0.5281985402107239,-0.0022400556760658217,0.05357825756072998,0.2,0.0032452221,0.13033599853515626
11207,1441792,529.22,128,21.645727157592773,11,2.387753486633301,36.07650302648544,0.1,100,1e-05,0.5624036872759461,0.590167224407196,-0.0022640316225079004,0.05401328206062317,0.2,0.0031959838,0.13041610717773439
11192,1572864,560.37,140,22.78997039794922,12,2.287998914718628,35.880381017923355,0.1,110,1e-05,0.52073528051842,0.6443034410476685,-0.0023892500846159235,0.05445944517850876,0.2,0.0033007038,0.1328887939453125
11182,1703936,557.38,152,22.712570190429688,13,2.255192995071411,35.6861431658268,0.1,120,1e-05,0.49682664815336464,0.672629177570343,-0.0022693586706736824,0.05489708110690117,0.2,0.0031839656,0.12625198364257811
11172,1835008,539.36,164,22.286882400512695,14,2.2161877155303955,35.491311851143834,0.1,130,1e-05,0.45899672431405636,0.7145006656646729,-0.002423905626619671,0.0553474947810173,0.2,0.0032097467,0.12903823852539062
11162,1966080,540.99,176,22.28023910522461,15,2.2141315937042236,35.29531365036964,0.1,140,1e-05,0.44501753370277586,0.7380626201629639,-0.0022872226531035268,0.05580369383096695,0.2,0.0031349184,0.12388916015625
11153,2097152,514.51,188,21.463882446289062,16,2.1602697372436523,35.09766338467598,0.1,150,1e-05,0.43367141182534397,0.7637572288513184,-0.0023117299876503237,0.05626354739069939,0.2,0.003140248,0.12781448364257814
11154,2228224,540.74,199,22.343351364135742,17,2.1763534545898438,34.90492944121361,0.1,160,1e-05,0.45590228305663916,0.770362377166748,-0.002070206589814916,0.05671297758817673,0.2,0.0031194086,0.12474822998046875
11145,2359296,527.41,211,21.984882354736328,18,2.172765016555786,34.70712489783764,0.1,170,1e-05,0.45577897096518427,0.7735089063644409,-0.0022213527550775324,0.05719080567359924,0.2,0.0032676677,0.12959060668945313
11145,2490368,514.02,223,21.051027297973633,19,2.2169618606567383,34.51020655930042,0.1,180,1e-05,0.44904518115799874,0.7899653911590576,-0.0022139044353025384,0.05765646696090698,0.2,0.0031796934,0.12953643798828124
11132,2621440,556.29,235,22.735048294067383,20,2.214747667312622,34.31704594790936,0.1,190,1e-05,0.46673691100440917,0.8011181354522705,-0.0020182794280117376,0.05811998248100281,0.2,0.0031412088,0.1278900146484375
11123,2752512,540.1,247,22.364320755004883,21,2.16041898727417,34.12426679432392,0.1,200,1e-05,0.4660219422541559,0.8271993398666382,-0.0019151098258589627,0.058590710163116455,0.2,0.003154098,0.12302703857421875
11109,2883584,518.61,259,21.70806884765625,22,2.1422667503356934,33.92941120564937,0.1,210,1e-05,0.4947266496019438,0.8291209936141968,-0.001979487663902546,0.0590706430375576,0.2,0.0031178286,0.12349700927734375
11095,3014656,505.25,271,20.992725372314453,23,2.160757064819336,33.73363398313522,0.1,220,1e-05,0.5081872952869162,0.8338667154312134,-0.0020370435217955674,0.05955391749739647,0.2,0.003172854,0.12770156860351561
11087,3145728,510.03,283,21.285537719726562,24,2.2056403160095215,33.537978917360306,0.1,230,1e-05,0.5169149415800348,0.8357009887695312,-0.0020866219291747258,0.06004156917333603,0.2,0.0030825334,0.12578506469726564
11086,3276800,541.01,295,22.11544418334961,25,2.140629768371582,33.344969543814656,0.1,240,1e-05,0.5203227049438283,0.8397926092147827,-0.0017226444002517382,0.060522716492414474,0.2,0.0030144793,0.12295074462890625
11076,3407872,503.97,307,21.095731735229492,26,2.1523420810699463,33.15325819551945,0.1,250,1e-05,0.5439893728122115,0.8645258545875549,-0.0021829786119269556,0.06100873276591301,0.2,0.0031449115,0.12330780029296876
