time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/policy_gradient_loss,train/clip_range_vf,train/value_loss,train/explained_variance,train/n_updates,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/loss
1,8,14563,401.29,131072,15.386260986328125,,,,,,,,,,,,
2,21,12185,716.09,262144,28.17108917236328,0.0027259951,-0.00235596796428581,0.2,0.44806873267516495,0.870507001876831,1540,0.17373669147491455,0.09435195922851562,1e-05,0.1,8.03913372606039,0.8662948608398438
3,34,11548,538.14,393216,22.013160705566406,0.0026884875,-0.002187615548064059,0.2,0.64632652211003,0.8698407411575317,1550,0.17517119646072388,0.09081497192382812,1e-05,0.1,7.842438879609108,1.080413579940796
4,46,11191,629.43,524288,25.040931701660156,0.0026933467,-0.0023583644944665137,0.2,0.5906517107505351,0.8742955923080444,1560,0.17659851908683777,0.093499755859375,1e-05,0.1,7.646532832831144,0.9438945055007935
5,59,11013,563.26,655360,22.8753604888916,0.002677871,-0.0024729894701522427,0.2,0.562438827031292,0.8830699920654297,1570,0.17802000045776367,0.09270706176757812,1e-05,0.1,7.45279346704483,0.8996225595474243
6,72,10913,580.86,786432,23.846887588500977,0.0026666126,-0.0022516459930557176,0.2,0.6247847669059411,0.8742683529853821,1580,0.17949578166007996,0.09108200073242187,1e-05,0.1,7.257269834727049,0.95011305809021
7,84,10891,552.47,917504,22.61520767211914,0.002648559,-0.0023183140643595833,0.2,0.6404431082773954,0.875325620174408,1590,0.18096452951431274,0.08926620483398437,1e-05,0.1,7.060747973248363,0.9211081266403198
8,96,10821,552.88,1048576,22.337478637695312,0.0026596119,-0.002288888787461474,0.2,0.6357538784854114,0.8723796606063843,1600,0.1824500858783722,0.09061965942382813,1e-05,0.1,6.864980140328408,0.9250525832176208
9,109,10765,607.17,1179648,24.151792526245117,0.0026713088,-0.002450953091829433,0.2,0.6145377740962431,0.881271481513977,1610,0.18392878770828247,0.09382781982421876,1e-05,0.1,6.670243977755308,0.9388135075569153
10,121,10767,578.84,1310720,22.86748504638672,0.0026615518,-0.0022934226405595835,0.2,0.5845102225197479,0.8835476040840149,1620,0.18542975187301636,0.0927642822265625,1e-05,0.1,6.475662204995752,0.8643174171447754
11,133,10763,604.25,1441792,24.320148468017578,0.0026745955,-0.0024773229662059747,0.2,0.5503609825624153,0.8960604071617126,1630,0.18692654371261597,0.09283523559570313,1e-05,0.1,6.2815265789628025,0.8288545608520508
12,146,10748,624.02,1572864,24.593828201293945,0.0026489017,-0.0023617477724656053,0.2,0.5713192656403407,0.8844523429870605,1640,0.18845635652542114,0.09009628295898438,1e-05,0.1,6.086824309080839,0.8173949718475342
13,158,10748,588.19,1703936,23.180410385131836,0.0026368191,-0.002329158026168443,0.2,0.5621031826362014,0.8967119455337524,1650,0.18998444080352783,0.08953475952148438,1e-05,0.1,5.892539168894291,0.7562768459320068
14,170,10744,591.96,1835008,23.6773681640625,0.0027071075,-0.002589014354362007,0.2,0.5457742681261152,0.8924422264099121,1660,0.19154605269432068,0.093011474609375,1e-05,0.1,5.696840070560574,0.7697633504867554
15,182,10766,622.93,1966080,24.953454971313477,0.0027029673,-0.002330729815366794,0.2,0.6374898502137512,0.877477765083313,1670,0.19312986731529236,0.09158477783203126,1e-05,0.1,5.50030590519309,0.8406628370285034
16,194,10788,574.91,2097152,23.241920471191406,0.0026482567,-0.002292809636674065,0.2,0.5962351367110387,0.8827083706855774,1680,0.19467708468437195,0.08932418823242187,1e-05,0.1,5.306265048310161,0.8498104810714722
17,206,10808,605.9,2228224,23.926023483276367,0.0026942457,-0.0024609573815723707,0.2,0.6226457310840487,0.881062388420105,1690,0.19625048339366913,0.09190216064453124,1e-05,0.1,5.113679967448116,0.9576708674430847
18,218,10815,604.78,2359296,24.228105545043945,0.0027221867,-0.0025795967205340274,0.2,0.570080945501104,0.8922982215881348,1700,0.19785313308238983,0.090972900390625,1e-05,0.1,4.919380562752485,0.7521222829818726
19,230,10824,587.35,2490368,23.396095275878906,0.0027002064,-0.0022922621897123463,0.2,0.5983045837143436,0.883139967918396,1710,0.19948431849479675,0.09016799926757812,1e-05,0.1,4.723223607614637,0.8026087284088135
20,242,10831,580.52,2621440,23.178369522094727,0.0026258074,-0.0023077278319760808,0.2,0.6371830915100872,0.8724385499954224,1720,0.2011096477508545,0.08718719482421874,1e-05,0.1,4.527506522089243,0.8097525238990784
21,253,10838,581.22,2752512,22.915393829345703,0.0026926314,-0.0025183860996548903,0.2,0.6438490496948361,0.8656718730926514,1730,0.2027171552181244,0.09454421997070313,1e-05,0.1,4.3349826976656916,0.7871323227882385
22,266,10838,576.15,2883584,22.843168258666992,0.0027271481,-0.0024863970809747117,0.2,0.6267109174514189,0.8820860385894775,1740,0.20438043773174286,0.0938812255859375,1e-05,0.1,4.141208923980594,0.7962535619735718
23,277,10849,586.4,3014656,23.20077133178711,0.002643499,-0.0023282726693651056,0.2,0.6218715078663081,0.8767848014831543,1750,0.2059973180294037,0.0894805908203125,1e-05,0.1,3.9493653839454055,0.755567193031311
24,289,10856,610.57,3145728,24.288551330566406,0.002656875,-0.002352326652362535,0.2,0.6121528102084994,0.8827472925186157,1760,0.20768555998802185,0.09050827026367188,1e-05,0.1,3.755922262184322,0.7819089889526367
25,301,10866,592.38,3276800,23.759275436401367,0.002726356,-0.0025404328200238522,0.2,0.5774909543106332,0.8833500742912292,1770,0.20937804877758026,0.092291259765625,1e-05,0.1,3.560810683853924,0.7006772756576538
26,313,10878,662.96,3407872,26.455333709716797,0.0026678597,-0.0023719016602626653,0.2,0.6012521823402495,0.8686457872390747,1780,0.21105724573135376,0.0906341552734375,1e-05,0.1,3.367804853990674,0.6942895650863647
27,324,10890,669.7,3538944,26.544565200805664,0.0026878386,-0.002336138531063625,0.2,0.6015961645869539,0.8623970746994019,1790,0.21282391250133514,0.09100265502929687,1e-05,0.1,3.171798272617161,0.7853507399559021
28,336,10895,658.42,3670016,26.524154663085938,0.0026854896,-0.002428542019060842,0.2,0.613036482152529,0.8623327016830444,1800,0.21453270316123962,0.09133758544921874,1e-05,0.1,2.9763362027704714,0.7459291815757751
29,348,10897,627.01,3801088,24.921558380126953,0.002683282,-0.0024191322371734715,0.2,0.5912459969287738,0.8760455846786499,1810,0.21629759669303894,0.09041900634765625,1e-05,0.1,2.7818564450368286,0.700832724571228
30,360,10902,597.76,3932160,24.075939178466797,0.0026879264,-0.0023931315139634536,0.2,0.6324554493650794,0.8677328824996948,1820,0.21803270280361176,0.09247589111328125,1e-05,0.1,2.587911066412926,0.7588068842887878
31,372,10905,585.24,4063232,23.64679718017578,0.0026650964,-0.0023408359679706336,0.2,0.5984787137946114,0.8700729608535767,1830,0.21983501315116882,0.09067459106445312,1e-05,0.1,2.392578506283462,0.7418637275695801
